[4/20/23 04:16PM] Login. ip: 81.102.123.45, mac: null, uuid: 02-90-5A-3C-E1-50	
[4/20/23 04:17PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 04:17PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:18PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 04:18PM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 04:18PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 04:18PM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 04:18PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 04:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:18PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 04:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:18PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 04:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:18PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 04:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:18PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 04:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:18PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 04:18PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:20PM] Picked up gr.Item Coin, amount: 2150231	
[4/20/23 04:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 04:21PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:21PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:21PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 04:21PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:21PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:22PM] Picked up gr.Item Coin, amount: 600	
[4/20/23 04:22PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/20/23 04:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 04:23PM] Player dropping item: Starter Boots, amount: 1	
[4/20/23 04:24PM] Player dropping item: Starter Helm, amount: 1	
[4/20/23 04:24PM] Player dropping item: Starter Body, amount: 1	
[4/20/23 04:24PM] Player dropping item: Starter Legs, amount: 1	
[4/20/23 04:24PM] Player dropping item: Starter Cape, amount: 1	
[4/20/23 04:24PM] Player dropping item: Starter Gloves, amount: 1	
[4/20/23 04:34PM] Picked up gr.Item Coin, amount: 2500	
[4/20/23 04:35PM] Picked up gr.Item Coin, amount: 3500	
[4/20/23 04:35PM] Picked up gr.Item Coin, amount: 6500	
[4/20/23 04:35PM] Picked up gr.Item Blurite Cape, amount: 1	
[4/20/23 04:38PM] Player dropping item: Starter Amulet, amount: 1	
[4/20/23 04:38PM] Player dropping item: Starter Ring, amount: 1	
[4/20/23 04:38PM] Player dropping item: Starter Cannon, amount: 1	
[4/20/23 04:38PM] Player dropping item: Starter Staff, amount: 1	
[4/20/23 04:39PM] Picked up gr.Item Coin, amount: 600	
[4/20/23 04:44PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/20/23 04:46PM] Picked up gr.Item Coin, amount: 600	
[4/20/23 04:51PM] Picked up gr.Item Coin, amount: 2069056	
[4/20/23 04:53PM] Picked up gr.Item Imperial body, amount: 1	
[4/20/23 04:58PM] Picked up gr.Item Imperial boots, amount: 1	
[4/20/23 05:02PM] Player dropping item: Lava bones, amount: 106	
[4/20/23 05:12PM] Picked up gr.Item Imperial legs, amount: 1	
[4/20/23 05:12PM] Picked up gr.Item Imperial helm, amount: 1	
[4/20/23 05:20PM] Picked up gr.Item Coin, amount: 1952845	
[4/20/23 05:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 05:21PM] Picked up gr.Item Coin, amount: 2372069	
[4/20/23 05:21PM] Picked up gr.Item Lava bones, amount: 40	
[4/20/23 05:22PM] Picked up gr.Item Lava bones, amount: 100	
[4/20/23 05:22PM] Picked up gr.Item $1 Scroll, amount: 1	
