[4/19/23 09:59AM] Login. ip: 86.160.250.231, mac: 20201206185737.000000+000, uuid: 3C-7C-3F-BA-2C-02	
[4/19/23 10:01AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 10:01AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:01AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:02AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 10:02AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 10:02AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 10:02AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 10:02AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:02AM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 10:03AM] (CC) Help. Said: Hwo do i change hotkeys?	
[4/19/23 10:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:03AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:03AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 10:04AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 10:04AM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 10:04AM] Picked up gr.Item Coin, amount: 100	
[4/19/23 10:04AM] Picked up gr.Item Lava bones, amount: 1	
