[4/18/23 12:18PM] Login. ip: 104.237.0.44, mac: 6538-9483-6332-8943-2760-3185-4420230413173910.000000-300, uuid: 00-15-5D-01-F3-88	
[4/18/23 12:29PM] (CC) Help. Said: Where do i get a pickaxe to afk?	
[4/18/23 12:31PM] (CC) Help. Said: Cant find the explorer lol	
[4/18/23 12:31PM] (CC) Help. Said: There is no explorer at general shop icon	
[4/18/23 12:31PM] DEFAULT|2231,3732,0|Said: Ahh ty	
[4/18/23 12:32PM] (CC) Help. Said: How many afk accs are you allowe to have?	
[4/18/23 12:32PM] (CC) Help. Said: I cant do main and afk both to afk?	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 23020, amount: 5	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 15358, amount: 1	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 15359, amount: 1	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 18636, amount: 1	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 8817, amount: 1	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 995, amount: 7027027	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 10835, amount: 509	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 3086, amount: 1	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 1033, amount: 1	
[4/18/23 12:34PM] Gave item in trade to Ishine. Id: 3090, amount: 1	
[4/18/23 12:41PM] Picked up gr.Item Coin, amount: 1022231	
[4/18/23 12:41PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 07:08AM] Login. ip: 104.237.0.44, mac: 6538-9483-6332-8943-2760-3185-4420230413173910.000000-300, uuid: 00-15-5D-01-F3-88	
[4/19/23 07:23AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/19/23 07:23AM] Picked up gr.Item Vote scroll, amount: 3	
[4/19/23 07:25AM] Picked up gr.Item Coin, amount: 2115958	
[4/19/23 07:25AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 07:27AM] Picked up gr.Item Coin, amount: 2693658	
[4/19/23 07:28AM] Picked up gr.Item Lava bones, amount: 40	
[4/19/23 07:46AM] Login. ip: 104.237.0.44, mac: 6538-9483-6332-8943-2760-3185-4420230413173910.000000-300, uuid: 00-15-5D-01-F3-88	
[4/19/23 07:48AM] Picked up gr.Item Coin, amount: 1021673	
[4/19/23 07:48AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 08:17AM] Picked up gr.Item Coin, amount: 1691859	
[4/19/23 08:17AM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 08:28AM] Gave item in trade to Ishine. Id: 5020, amount: 272990	
[4/19/23 08:28AM] Gave item in trade to Ishine. Id: 23020, amount: 6	
