[4/22/23 03:00PM] Login. ip: 69.2.170.69, mac: BNVLDV220230102172013.000000-300, uuid: 6A-07-15-46-74-09	
[4/22/23 03:00PM] (CC) Help. Said: Who do i ref	
[4/22/23 03:02PM] Picked up gr.Item Blurite Box, amount: 1	
[4/22/23 06:00PM] (CC) Help. Said: Is there a drop collector	
[4/22/23 06:01PM] (CC) Help. Said: How to get it?	
[4/22/23 06:01PM] Picked up gr.Item Coin, amount: 400	
[4/22/23 06:02PM] Player dropping item: Starter Boots, amount: 1	
[4/22/23 06:02PM] Player dropping item: Starter Gloves, amount: 1	
[4/22/23 06:02PM] Player dropping item: Starter Helm, amount: 1	
[4/22/23 06:02PM] Player dropping item: Starter Body, amount: 1	
[4/22/23 06:02PM] Player dropping item: Starter Cape, amount: 1	
[4/22/23 06:02PM] Player dropping item: Starter Legs, amount: 1	
[4/22/23 06:02PM] Player dropping item: Starter Blade, amount: 1	
[4/22/23 06:02PM] Picked up gr.Item Starter Blade, amount: 1	
[4/22/23 06:04PM] Picked up gr.Item Coin, amount: 1000	
[4/22/23 06:04PM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:05PM] Player dropping item: Starter Staff, amount: 1	
[4/22/23 06:05PM] Player dropping item: Starter Ring, amount: 1	
[4/22/23 06:05PM] Player dropping item: Starter Amulet, amount: 1	
[4/22/23 06:05PM] Picked up gr.Item Starter Amulet, amount: 1	
[4/22/23 06:05PM] Picked up gr.Item Starter Ring, amount: 1	
[4/22/23 06:05PM] Player dropping item: Starter Ring, amount: 1	
[4/22/23 06:05PM] Player dropping item: Starter Amulet, amount: 1	
[4/22/23 06:07PM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:15PM] Picked up gr.Item Imperial body, amount: 1	
[4/22/23 06:17PM] Picked up gr.Item Coin, amount: 600	
[4/22/23 06:21PM] Picked up gr.Item Imperial Box, amount: 1	
[4/22/23 06:22PM] Picked up gr.Item Coin, amount: 1400	
[4/22/23 06:23PM] Picked up gr.Item Coin, amount: 800	
[4/22/23 06:23PM] Picked up gr.Item Coin, amount: 800	
[4/22/23 06:23PM] Picked up gr.Item Coin, amount: 800	
[4/22/23 06:23PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:24PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/22/23 06:24PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/22/23 06:24PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 06:24PM] Picked up gr.Item Coin, amount: 2400	
[4/22/23 06:25PM] Picked up gr.Item Coin, amount: 800	
[4/22/23 06:25PM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 06:26PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/22/23 06:26PM] Picked up gr.Item Imperial Box, amount: 1	
[4/22/23 06:31PM] Picked up gr.Item Imperial body, amount: 1	
[4/22/23 06:31PM] Picked up gr.Item Coin, amount: 900	
[4/22/23 06:32PM] Picked up gr.Item Imperial body, amount: 1	
[4/22/23 06:50PM] Picked up gr.Item Imperial body, amount: 1	
[4/22/23 06:50PM] Picked up gr.Item Imperial body, amount: 1	
[4/22/23 07:00PM] Picked up gr.Item Imperial ring, amount: 1	
[4/22/23 07:00PM] Picked up gr.Item Imperial legs, amount: 1	
[4/22/23 07:02PM] Player dropping item: Imperial Minigun, amount: 1	
[4/22/23 07:02PM] Player dropping item: Imperial Minigun, amount: 1	
[4/22/23 07:04PM] Picked up gr.Item Coin, amount: 4000	
[4/22/23 07:05PM] Picked up gr.Item Coin, amount: 3000	
[4/22/23 07:07PM] Picked up gr.Item Coin, amount: 1000	
[4/22/23 07:08PM] Picked up gr.Item Coin, amount: 2000	
[4/22/23 07:11PM] Picked up gr.Item Coin, amount: 3000	
[4/22/23 07:12PM] Picked up gr.Item Zinq shield, amount: 1	
