[4/19/23 05:24PM] Login. ip: 96.53.202.47, mac: Default string20220109202841.000000-420, uuid: 1E-BF-CE-F7-F1-8B	
[4/19/23 05:24PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:24PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:25PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:25PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:25PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:26PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:26PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:26PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:26PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:26PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:26PM] Picked up gr.Item Coin, amount: 100	
[4/19/23 05:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:28PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:28PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:28PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:28PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:28PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:29PM] (CC) Help. Said: Is there only the one vote rewards ?	
[4/19/23 05:29PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:29PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 05:29PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:29PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:29PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:29PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:30PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:30PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:30PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:31PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:31PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:31PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:31PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:31PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:31PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:31PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/19/23 05:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:32PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:32PM] Picked up gr.Item Coin, amount: 200	
[4/19/23 05:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:33PM] Picked up gr.Item Coin, amount: 600	
[4/19/23 05:33PM] Picked up gr.Item Lava bones, amount: 2	
[4/19/23 05:33PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:33PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:33PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:33PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:34PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:34PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:34PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:34PM] Picked up gr.Item Coin, amount: 900	
[4/19/23 05:34PM] Picked up gr.Item Lava bones, amount: 3	
[4/19/23 05:34PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:34PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:35PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:35PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:35PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:36PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:36PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:36PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:37PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:37PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:37PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:38PM] (CC) Help. Said: Fury shark doesnt stack.... shame	
[4/19/23 05:38PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:38PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:39PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:39PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:39PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:39PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:39PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:40PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:40PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:40PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:40PM] Picked up gr.Item Coin, amount: 300	
[4/19/23 05:41PM] PROGRESSION_ZONES|3030,10277,8|Said: Yo	
[4/19/23 05:41PM] PROGRESSION_ZONES|3030,10277,8|Said: Oh yeah	
[4/19/23 05:41PM] PROGRESSION_ZONES|3030,10277,8|Said: Thats why im here	
[4/19/23 05:44PM] (CC) Help. Said: Virgin alrert	
[4/19/23 05:45PM] Picked up gr.Item Coin, amount: 1697169	
[4/19/23 05:45PM] Picked up gr.Item Lava bones, amount: 25	
[4/19/23 05:49PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:49PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:49PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:50PM] Picked up gr.Item Lava bones, amount: 1	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:50PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 2000	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:51PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 800	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:52PM] Picked up gr.Item Coin, amount: 400	
[4/19/23 05:53PM] Picked up gr.Item Coin, amount: 500	
[4/19/23 05:54PM] Picked up gr.Item Coin, amount: 500	
[4/19/23 05:54PM] Picked up gr.Item Coin, amount: 500	
[4/19/23 05:56PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/19/23 06:03PM] (CC) Help. Said: Is there an auto pickup for coins?	
[4/19/23 06:06PM] Picked up gr.Item Imperial ring, amount: 1	
[4/19/23 06:08PM] Picked up gr.Item Imperial gloves, amount: 1	
[4/19/23 06:08PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 06:08PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 06:08PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 06:08PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 06:10PM] Picked up gr.Item Imperial amulet, amount: 1	
[4/19/23 06:10PM] Picked up gr.Item Coin, amount: 3500	
[4/19/23 06:10PM] Picked up gr.Item Coin, amount: 1400	
[4/19/23 06:10PM] Picked up gr.Item Coin, amount: 1400	
[4/19/23 06:11PM] Picked up gr.Item Coin, amount: 1400	
[4/19/23 06:11PM] Picked up gr.Item Coin, amount: 2100	
[4/19/23 06:11PM] Picked up gr.Item Coin, amount: 700	
[4/19/23 06:12PM] (CC) Help. Said: Pos not work?	
[4/19/23 07:27PM] Login. ip: 96.53.202.47, mac: Default string20220109202841.000000-420, uuid: 1E-BF-CE-F7-F1-8B	
[4/19/23 07:29PM] (CC) Help. Said: Why cant i use pos?	
[4/19/23 07:29PM] (CC) Help. Said: Ahh ty	
[4/19/23 07:29PM] (CC) Help. Said: Sounds unfair :p	
[4/20/23 07:50PM] Login. ip: 96.53.202.47, mac: Default string20220109202841.000000-420, uuid: 1E-BF-CE-F7-F1-8B	
[4/20/23 08:00PM] Picked up gr.Item Coin, amount: 800	
[4/20/23 08:00PM] Picked up gr.Item Coin, amount: 1600	
