[4/16/23 08:05AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/16/23 08:48AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/16/23 08:52AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/16/23 09:02AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/16/23 09:51AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/16/23 02:28PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/16/23 05:11PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/16/23 05:45PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/16/23 06:06PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/17/23 06:12AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/17/23 08:34AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/17/23 08:34AM] Picked up gr.Item Vial, amount: 1	
[4/17/23 08:34AM] Player dropping item: Vial, amount: 1	
[4/17/23 09:43PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/18/23 07:03AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/18/23 10:31AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/19/23 10:49AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/19/23 07:23PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/19/23 07:55PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/20/23 08:25PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/20/23 08:26PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/21/23 09:26AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/23/23 07:17AM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/25/23 12:17PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
[4/25/23 08:10PM] Login. ip: 92.22.189.43, mac: 156403601620230414092835.000000+060, uuid: 04-D4-C4-59-1D-D1	
