[4/21/23 10:42AM] Login. ip: 74.210.215.147, mac: MJ0HEP9H20220927105942.000000-300, uuid: 88-AE-DD-12-55-E5	
[4/21/23 10:44AM] Login. ip: 74.210.215.147, mac: MJ0HEP9H20220927105942.000000-300, uuid: 88-AE-DD-12-55-E5	
[4/21/23 10:45AM] Emptied item (id:703, amount:1) -- Starter Helm	
[4/21/23 10:46AM] Emptied item (id:22239, amount:1) -- Owner's Halo	
[4/21/23 10:55AM] Login. ip: 74.210.215.147, mac: MJ0HEP9H20220927105942.000000-300, uuid: 88-AE-DD-12-55-E5	
[4/23/23 10:35AM] Login. ip: 75.83.243.159, mac: Default string20190810131543.000000-480, uuid: DE-71-96-46-DF-BB	
[4/23/23 10:52AM] Login. ip: 75.83.243.159, mac: Default string20190810131543.000000-480, uuid: DE-71-96-46-DF-BB	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22214, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22215, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22216, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22217, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22218, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22219, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22220, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22221, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22223, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22224, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22225, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22226, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22227, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 22228, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 8788, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 8788, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 8788, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 8788, amount: 1	
[4/23/23 10:56AM] Receiving item from trade with Alex Id: 8788, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Picked up gr.Item Turnscrew, amount: 100	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
[4/23/23 11:02AM] Player dropping item: Metal rectangle, amount: 1	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
[4/23/23 11:02AM] Player dropping item: Turnscrew, amount: 1	
