[4/16/23 12:49PM] Login. ip: 209.15.186.253, mac: 20201105181604.000000-300, uuid: E8-40-F2-AB-D1-F6	
[4/16/23 12:51PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 12:52PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 12:52PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 12:53PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 12:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 12:53PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 12:53PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 12:54PM] Picked up gr.Item Lava bones, amount: 25	
[4/16/23 12:54PM] Picked up gr.Item Coin, amount: 2322828	
[4/16/23 12:54PM] (CC) Help. Said:  any ref codes ?	
[4/16/23 12:56PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 12:56PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 12:56PM] Picked up gr.Item Coin, amount: 200	
[4/16/23 12:56PM] Picked up gr.Item Lava bones, amount: 3	
[4/16/23 12:57PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 12:59PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/16/23 12:59PM] Picked up gr.Item Coin, amount: 600	
[4/16/23 12:59PM] Picked up gr.Item Lava bones, amount: 6	
[4/16/23 12:59PM] Picked up gr.Item Coin, amount: 1000	
[4/16/23 12:59PM] Picked up gr.Item Lava bones, amount: 7	
[4/16/23 01:02PM] Picked up gr.Item Lava bones, amount: 5	
[4/16/23 01:02PM] Picked up gr.Item Coin, amount: 900	
[4/16/23 01:02PM] Picked up gr.Item Lava bones, amount: 5	
[4/16/23 01:02PM] Picked up gr.Item Lava bones, amount: 4	
[4/16/23 01:02PM] Picked up gr.Item Coin, amount: 600	
[4/16/23 01:03PM] Picked up gr.Item Lava bones, amount: 5	
[4/16/23 01:04PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/16/23 01:04PM] Picked up gr.Item Coin, amount: 900	
[4/16/23 01:04PM] Picked up gr.Item Coin, amount: 600	
[4/16/23 01:04PM] Picked up gr.Item Lava bones, amount: 3	
[4/16/23 01:05PM] Picked up gr.Item Lava bones, amount: 6	
[4/16/23 01:05PM] Player dropping item: Starter Cape, amount: 1	
[4/16/23 01:05PM] Player dropping item: Starter Legs, amount: 1	
[4/16/23 01:05PM] Player dropping item: Starter Body, amount: 1	
[4/16/23 01:11PM] Picked up gr.Item Blurite Box, amount: 1	
[4/16/23 01:11PM] Picked up gr.Item Blurite Box, amount: 1	
[4/16/23 01:11PM] Picked up gr.Item Lava bones, amount: 6	
[4/16/23 01:11PM] Picked up gr.Item Coin, amount: 800	
[4/16/23 01:11PM] Picked up gr.Item Coin, amount: 400	
[4/16/23 01:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:14PM] Picked up gr.Item Blurite Cape, amount: 1	
[4/16/23 01:14PM] Picked up gr.Item Blurite Cape, amount: 1	
[4/16/23 01:14PM] Picked up gr.Item Lava bones, amount: 8	
[4/16/23 01:14PM] Picked up gr.Item Lava bones, amount: 5	
[4/16/23 01:14PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/16/23 01:15PM] Picked up gr.Item Lava bones, amount: 9	
[4/16/23 01:15PM] Picked up gr.Item Lava bones, amount: 6	
[4/16/23 01:16PM] Picked up gr.Item Lava bones, amount: 5	
[4/16/23 01:16PM] Picked up gr.Item Lava bones, amount: 8	
[4/16/23 01:16PM] Picked up gr.Item Lava bones, amount: 3	
[4/16/23 01:17PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/16/23 01:17PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/16/23 01:19PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/16/23 01:19PM] Picked up gr.Item Lava bones, amount: 16	
[4/16/23 01:19PM] Picked up gr.Item Coin, amount: 4500	
[4/16/23 01:19PM] Picked up gr.Item Lava bones, amount: 1	
