[4/15/23 08:19AM] Login. ip: 76.167.71.164, mac: K2008N010645620230218172707.000000-480, uuid: 36-2E-B7-FD-D3-60	
[4/15/23 08:20AM] DEFAULT|2219,3747,0|Said: Sup man	
[4/15/23 08:22AM] DEFAULT|2223,3748,0|Said: Shit sorry	
[4/15/23 08:24AM] DEFAULT|2223,3748,0|Said: Me	
[4/15/23 08:25AM] DEFAULT|2224,3746,0|Said: Hey i never got anything lol	
[4/15/23 08:27AM] Receiving item from trade with Walkchaos Id: 10029, amount: 1	
[4/15/23 08:27AM] DEFAULT|2225,3760,0|Said: Ty	
[4/15/23 08:27AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:28AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:28AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:31AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:31AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:32AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:32AM] Picked up gr.Item Coin, amount: 200	
