[4/15/23 04:26PM] Login. ip: 71.30.52.228, mac: 03847155055320210920174753.000000-300, uuid: C2-33-5E-0E-EE-D8	
[4/15/23 04:28PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:28PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:31PM] Picked up gr.Item Lava bones, amount: 25	
[4/15/23 04:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:32PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:33PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:33PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:33PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:33PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:34PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:34PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:34PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:34PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:35PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:35PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:36PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:36PM] Picked up gr.Item Coin, amount: 100	
[4/15/23 04:38PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:38PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:39PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:39PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:40PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:40PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:40PM] Picked up gr.Item Coin, amount: 400	
[4/15/23 04:40PM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 04:41PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:41PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:41PM] (CC) Help. Said: Any starter tips?	
[4/15/23 04:41PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:41PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:42PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:42PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:42PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:42PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:43PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:43PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:44PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:44PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:44PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:44PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:44PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:44PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:44PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/15/23 04:45PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:45PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:45PM] Picked up gr.Item Coin, amount: 200	
[4/15/23 04:45PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:46PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:46PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:47PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 04:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:47PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:47PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 04:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:48PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:54PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 04:54PM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 04:55PM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 04:55PM] Picked up gr.Item Coin, amount: 300	
[4/15/23 04:55PM] Picked up gr.Item Lava bones, amount: 1	
