[4/20/23 08:22PM] Login. ip: 98.30.57.1, mac: 5CD9472ZPQ20210211232841.000000-300, uuid: 4C-1D-96-51-33-D0	
[4/20/23 08:22PM] (CC) Help. Said: Can someone kick army 	
[4/20/23 08:24PM] (CC) Help. Said: Yay... missing out on globals cause of it..	
[4/20/23 08:25PM] (CC) Help. Said: Our accounts are bugged it dont matter 	
[4/20/23 08:34PM] Login. ip: 98.30.57.1, mac: 5CD9472ZPQ20210211232841.000000-300, uuid: 4C-1D-96-51-33-D0	
[4/20/23 08:37PM] Login. ip: 98.30.57.1, mac: 5CD9472ZPQ20210211232841.000000-300, uuid: 4C-1D-96-51-33-D0	
[4/20/23 09:00PM] Login. ip: 98.30.57.1, mac: 5CD9472ZPQ20210211232841.000000-300, uuid: 4C-1D-96-51-33-D0	
[4/20/23 09:02PM] Login. ip: 98.30.57.1, mac: 5CD9472ZPQ20210211232841.000000-300, uuid: 4C-1D-96-51-33-D0	
[4/20/23 09:29PM] Login. ip: 98.30.57.1, mac: 5CD9472ZPQ20210211232841.000000-300, uuid: 4C-1D-96-51-33-D0	
[4/21/23 08:45AM] Login. ip: 70.92.110.47, mac: 5CD9472ZPQ5CD9472ZPQ, uuid: 4C-1D-96-51-33-D0	
[4/22/23 09:38AM] Receiving item from trade with Army Id: 5020, amount: 161720	
[4/22/23 09:38AM] Receiving item from trade with Army Id: 19481, amount: 1	
[4/22/23 09:38AM] Player dropping item: Bronze pickaxe, amount: 1	
[4/22/23 01:28PM] Login. ip: 98.30.57.1, mac: 5CD9472ZPQ5CD9472ZPQ, uuid: 4C-1D-96-51-33-D0	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 3086, amount: 1	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 1033, amount: 1	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 3090, amount: 1	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 14487, amount: 1	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 15358, amount: 1	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 15359, amount: 1	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 14487, amount: 1	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 10025, amount: 1	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 995, amount: 1000000	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 2736, amount: 5	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 23020, amount: 2	
[4/22/23 06:06PM] Gave item in trade to Army. Id: 1057, amount: 1	
