[4/23/23 11:36AM] Login. ip: 174.87.75.28, mac: 20221122185040.000000-480, uuid: 44-AF-28-10-EF-B5	
[4/23/23 11:37AM] Player dropping item: Starter Helm, amount: 1	
[4/23/23 11:37AM] Player dropping item: Starter Body, amount: 1	
[4/23/23 11:37AM] Player dropping item: Starter Legs, amount: 1	
[4/23/23 11:40AM] Player dropping item: Starter Cape, amount: 1	
[4/23/23 11:40AM] Player dropping item: Starter Gloves, amount: 1	
[4/23/23 11:40AM] Player dropping item: Starter Boots, amount: 1	
[4/23/23 12:31PM] Login. ip: 174.87.75.28, mac: 20221122185040.000000-480, uuid: 44-AF-28-10-EF-B5	
[4/23/23 12:32PM] Picked up gr.Item Coin, amount: 2472431	
[4/23/23 12:32PM] Picked up gr.Item Lava bones, amount: 25	
[4/23/23 12:33PM] Picked up gr.Item Coin, amount: 2931994	
[4/23/23 12:33PM] Picked up gr.Item Lava bones, amount: 40	
[4/23/23 12:35PM] Picked up gr.Item Lava bones, amount: 300	
[4/23/23 12:36PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/23/23 12:36PM] Has just redeemed a $1 Scroll successfully!	
[4/23/23 12:39PM] Player dropping item: Starter Ring, amount: 1	
[4/23/23 12:39PM] Player dropping item: Starter Amulet, amount: 1	
[4/23/23 12:40PM] Player dropping item: Starter Cannon, amount: 1	
[4/23/23 12:41PM] Picked up gr.Item Blurite Box, amount: 1	
[4/23/23 12:44PM] Picked up gr.Item Blurite Box, amount: 1	
[4/23/23 12:52PM] Player dropping item: Starter Blade, amount: 1	
[4/23/23 12:52PM] Player dropping item: Starter Staff, amount: 1	
