[4/23/23 02:58AM] Login. ip: 82.23.232.207, mac: CM038544-00320210318161915.000000+000, uuid: 00-FF-0F-9A-A1-26	
[4/23/23 03:13AM] Login. ip: 82.23.232.207, mac: CM038544-00320210318161915.000000+000, uuid: 00-FF-0F-9A-A1-26	
[4/23/23 03:13AM] Picked up gr.Item Coin, amount: 200	
[4/23/23 03:13AM] Picked up gr.Item Lava bones, amount: 2	
[4/23/23 03:14AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:14AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:14AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:14AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:14AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:15AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:15AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:15AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:15AM] Picked up gr.Item Lava bones, amount: 1	
[4/23/23 03:15AM] Picked up gr.Item Coin, amount: 100	
[4/23/23 03:15AM] Picked up gr.Item Lava bones, amount: 1	
