[4/15/23 06:33AM] Login. ip: 94.192.151.93, mac: Default string20200829164453.000000+000, uuid: 1C-61-B4-36-DD-BB	
[4/15/23 06:35AM] (CC) Help. Said: Yo	
[4/15/23 06:35AM] Player dropping item: Starter Helm, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Body, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Legs, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Gloves, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Cape, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Amulet, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Defender, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Boots, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Ring, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Blade, amount: 1	
[4/15/23 06:35AM] Player dropping item: Starter Cannon, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Helm, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Body, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Legs, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Gloves, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Cape, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Amulet, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Defender, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Boots, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Ring, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Blade, amount: 1	
[4/15/23 06:35AM] Picked up gr.Item Starter Cannon, amount: 1	
[4/15/23 06:37AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 06:38AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 06:38AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:39AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 06:39AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 06:39AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:44AM] (CC) Help. Said: How to claim vote hahaha	
[4/15/23 06:44AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 06:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:44AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 06:44AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:44AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:44AM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/15/23 06:45AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:46AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 06:46AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:46AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 06:46AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:49AM] Player dropping item: @bla@Progressive reward box, amount: 1	
[4/15/23 06:49AM] Picked up gr.Item @bla@Progressive reward box, amount: 1	
[4/15/23 06:52AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:52AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 06:53AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:53AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:53AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:53AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:54AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:54AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:54AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:55AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:55AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:55AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:56AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:56AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:57AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:57AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:57AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 06:57AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 06:58AM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/15/23 06:58AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 06:58AM] Player dropping item: Blurite Gloves, amount: 1	
[4/15/23 06:58AM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/15/23 06:58AM] Player dropping item: Blurite Gloves, amount: 1	
