[4/20/23 05:57PM] Login. ip: 98.97.20.131, mac: 5CD9342KJN20230126164727.000000-300, uuid: DC-71-96-30-EC-19	
[4/20/23 05:59PM] Receiving item from trade with Nadez Id: 22135, amount: 1	
[4/20/23 06:04PM] Receiving item from trade with Nadez Id: 4071, amount: 1	
[4/20/23 06:05PM] Gave item in trade to Nadez. Id: 4071, amount: 1	
[4/20/23 06:05PM] Receiving item from trade with Nadez Id: 3472, amount: 1	
[4/20/23 06:05PM] Picked up gr.Item Lava bones, amount: 3	
[4/20/23 06:05PM] Picked up gr.Item Coin, amount: 600	
[4/20/23 06:07PM] Player dropping item: Starter Cape, amount: 1	
[4/20/23 06:07PM] Player dropping item: Starter Cannon, amount: 1	
[4/20/23 06:07PM] Player dropping item: Starter Staff, amount: 1	
[4/20/23 06:07PM] Player dropping item: Starter Helm, amount: 1	
[4/20/23 06:07PM] Player dropping item: Starter Gloves, amount: 1	
[4/20/23 06:07PM] Player dropping item: Starter Boots, amount: 1	
[4/20/23 06:07PM] Player dropping item: Starter Legs, amount: 1	
[4/20/23 06:07PM] Player dropping item: Starter Body, amount: 1	
[4/20/23 06:07PM] Player dropping item: Lava bones, amount: 3	
[4/20/23 06:08PM] Player dropping item: Starter Blade, amount: 1	
[4/20/23 06:10PM] Player dropping item: Blurite Box, amount: 1	
[4/20/23 06:10PM] Player dropping item: Blurite Box, amount: 1	
[4/20/23 06:10PM] Player dropping item: Starter Ring, amount: 1	
[4/20/23 06:10PM] Player dropping item: Starter Amulet, amount: 1	
[4/20/23 06:10PM] Player dropping item: Blurite Box, amount: 1	
[4/20/23 06:10PM] Player dropping item: Fury shark, amount: 100	
[4/20/23 06:10PM] Player dropping item: Super restore (4), amount: 100	
[4/20/23 06:11PM] Player dropping item: Blurite Box, amount: 1	
[4/20/23 06:11PM] Player dropping item: Blurite Box, amount: 1	
[4/20/23 06:11PM] Player dropping item: Blurite Box, amount: 1	
[4/20/23 06:13PM] Player dropping item: Imperial helm, amount: 1	
[4/20/23 06:14PM] Player dropping item: Imperial amulet, amount: 1	
[4/20/23 06:14PM] Player dropping item: Imperial legs, amount: 1	
[4/20/23 06:14PM] Player dropping item: Imperial gloves, amount: 1	
[4/20/23 06:14PM] Player dropping item: Imperial legs, amount: 1	
[4/20/23 06:14PM] Player dropping item: Imperial boots, amount: 1	
[4/20/23 06:14PM] Player dropping item: Imperial boots, amount: 1	
[4/20/23 06:14PM] Player dropping item: Imperial gloves, amount: 1	
[4/20/23 06:15PM] Player dropping item: Blurite Boots, amount: 1	
[4/20/23 06:15PM] Player dropping item: Blurite Body, amount: 1	
[4/20/23 06:15PM] Player dropping item: Blurite Amulet, amount: 1	
[4/20/23 06:15PM] Player dropping item: Imperial body, amount: 1	
[4/20/23 06:15PM] Player dropping item: Imperial Box, amount: 1	
[4/20/23 06:15PM] Player dropping item: Imperial Box, amount: 1	
[4/20/23 06:16PM] Player dropping item: Imperial body, amount: 1	
[4/20/23 06:16PM] Player dropping item: Imperial boots, amount: 1	
[4/20/23 06:16PM] Player dropping item: Imperial ring, amount: 1	
[4/20/23 06:16PM] Player dropping item: Imperial boots, amount: 1	
[4/20/23 06:16PM] Player dropping item: Blurite Helm, amount: 1	
[4/20/23 06:16PM] Player dropping item: Imperial amulet, amount: 1	
[4/20/23 06:16PM] Player dropping item: Imperial Box, amount: 1	
[4/20/23 06:16PM] Player dropping item: Imperial helm, amount: 1	
[4/20/23 06:16PM] Player dropping item: Imperial boots, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial helm, amount: 1	
[4/20/23 06:17PM] Player dropping item: PvM Casket, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial helm, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial Box, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial Box, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial Box, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial amulet, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial Box, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial amulet, amount: 1	
[4/20/23 06:17PM] Player dropping item: Imperial amulet, amount: 1	
