[4/22/23 06:10AM] Login. ip: 91.129.97.86, mac: NXA0VEP00C15027BF4760020221030224653.000000+120, uuid: 00-91-9E-79-1B-FB	
[4/22/23 06:12AM] Picked up gr.Item Coin, amount: 300	
[4/22/23 06:13AM] Player dropping item: Starter Body, amount: 1	
[4/22/23 06:13AM] Player dropping item: Starter Legs, amount: 1	
[4/22/23 06:13AM] Player dropping item: Starter Helm, amount: 1	
[4/22/23 06:14AM] Player dropping item: Starter Cape, amount: 1	
[4/22/23 06:14AM] Player dropping item: Starter Gloves, amount: 1	
[4/22/23 06:14AM] Player dropping item: Starter Boots, amount: 1	
[4/22/23 06:16AM] Player dropping item: Starter Amulet, amount: 1	
[4/22/23 06:16AM] Player dropping item: Starter Ring, amount: 1	
[4/22/23 06:16AM] Player dropping item: Starter Staff, amount: 1	
[4/22/23 06:16AM] Player dropping item: Starter Blade, amount: 1	
[4/22/23 06:19AM] Player dropping item: Blurite Staff, amount: 1	
[4/22/23 06:20AM] Picked up gr.Item Blurite Staff, amount: 1	
[4/22/23 06:21AM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:21AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:22AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:22AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:22AM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:22AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:22AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:22AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:22AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:22AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:24AM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:26AM] Player dropping item: Starter Cannon, amount: 1	
[4/22/23 06:27AM] Player dropping item: Blurite Boots, amount: 1	
[4/22/23 06:27AM] Picked up gr.Item Blurite Boots, amount: 1	
[4/22/23 06:31AM] Player dropping item: Blurite Helm, amount: 1	
[4/22/23 06:31AM] Picked up gr.Item Blurite Helm, amount: 1	
[4/22/23 06:34AM] Picked up gr.Item Coin, amount: 2174215	
[4/22/23 06:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 06:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 06:35AM] Player dropping item: Super restore (2), amount: 1	
[4/22/23 06:35AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 06:36AM] Has just redeemed a $1 Scroll successfully!	
[4/22/23 06:36AM] Picked up gr.Item Super restore (2), amount: 1	
[4/22/23 06:39AM] Player dropping item: Vial, amount: 1	
