[4/17/23 05:03PM] Login. ip: 73.245.201.21, mac: Default string20220801200046.000000-300, uuid: 56-14-F3-F5-14-41	
[4/17/23 05:04PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:05PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:05PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:05PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:05PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:06PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:06PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:06PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:06PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:08PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:08PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:08PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:08PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:08PM] Picked up gr.Item Coin, amount: 100	
[4/17/23 05:11PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 05:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:11PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 05:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:11PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 05:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:11PM] Picked up gr.Item Coin, amount: 400	
[4/17/23 05:11PM] Picked up gr.Item Lava bones, amount: 2	
[4/17/23 05:11PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 05:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:11PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 05:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:11PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:11PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 05:12PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 05:12PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:13PM] Picked up gr.Item Coin, amount: 200	
[4/17/23 05:13PM] Picked up gr.Item Coin, amount: 300	
[4/17/23 05:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:13PM] Picked up gr.Item Lava bones, amount: 1	
[4/17/23 05:13PM] Picked up gr.Item Coin, amount: 300	
