[4/20/23 05:15PM] Login. ip: 109.63.74.78, mac: CND0296L7T20221108175434.000000+180, uuid: 00-FF-13-23-CD-FD	
[4/20/23 05:20PM] Picked up gr.Item Lava bones, amount: 25	
[4/20/23 05:20PM] Picked up gr.Item Coin, amount: 1875622	
[4/20/23 05:21PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:21PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:21PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:22PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:22PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:22PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:22PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:22PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:23PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:23PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:23PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:23PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:23PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:23PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:24PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:24PM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 05:24PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:24PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/20/23 05:24PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:24PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:24PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:24PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:25PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:25PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:25PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:25PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:25PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:26PM] Picked up gr.Item Coin, amount: 100	
[4/20/23 05:26PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:30PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 05:30PM] Picked up gr.Item Coin, amount: 400	
[4/20/23 05:30PM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 05:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:30PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 05:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:30PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 05:30PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:31PM] Picked up gr.Item Coin, amount: 400	
[4/20/23 05:31PM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 05:31PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 05:31PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:32PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 05:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:32PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 05:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:34PM] Player dropping item: Starter Gloves, amount: 1	
[4/20/23 05:34PM] Player dropping item: Starter Boots, amount: 1	
[4/20/23 05:34PM] Player dropping item: Starter Cape, amount: 1	
[4/20/23 05:34PM] Player dropping item: Starter Helm, amount: 1	
[4/20/23 05:34PM] Player dropping item: Starter Body, amount: 1	
[4/20/23 05:34PM] Player dropping item: Starter Legs, amount: 1	
[4/20/23 05:34PM] Player dropping item: Starter Ring, amount: 1	
[4/20/23 05:36PM] Picked up gr.Item Coin, amount: 200	
[4/20/23 05:36PM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 05:39PM] Player dropping item: Starter Amulet, amount: 1	
[4/20/23 05:40PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/20/23 05:41PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/20/23 05:44PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/20/23 05:44PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/20/23 05:51PM] Picked up gr.Item Coin, amount: 2324789	
[4/20/23 05:51PM] Picked up gr.Item Lava bones, amount: 25	
