[4/15/23 08:25AM] Login. ip: 107.161.229.100, mac: 20221125214924.000000-300, uuid: 50-EB-F6-80-82-79	
[4/15/23 08:26AM] Receiving item from trade with Walkchaos Id: 10029, amount: 1	
[4/15/23 08:26AM] DEFAULT|2225,3759,0|Said: Ty	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:29AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:29AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:30AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:30AM] Picked up gr.Item Blurite Body, amount: 1	
[4/15/23 08:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:30AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:30AM] Picked up gr.Item Coin, amount: 100	
[4/15/23 08:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:30AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:30AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:31AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:31AM] Picked up gr.Item Blurite Ring, amount: 1	
[4/15/23 08:31AM] Picked up gr.Item Coin, amount: 200	
[4/15/23 08:31AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:31AM] Picked up gr.Item Coin, amount: 600	
[4/15/23 08:31AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 08:32AM] Picked up gr.Item Blurite Box, amount: 1	
[4/15/23 08:32AM] Picked up gr.Item Coin, amount: 600	
[4/15/23 08:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:32AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:32AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 08:32AM] Picked up gr.Item Coin, amount: 600	
[4/15/23 08:32AM] Picked up gr.Item Lava bones, amount: 2	
[4/15/23 08:32AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 08:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:34AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 08:34AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 08:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:34AM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 08:34AM] Picked up gr.Item Coin, amount: 1200	
[4/15/23 08:34AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 08:34AM] Picked up gr.Item Coin, amount: 900	
[4/15/23 08:34AM] Picked up gr.Item Coin, amount: 300	
[4/15/23 08:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:34AM] Picked up gr.Item Coin, amount: 1200	
[4/15/23 08:34AM] Picked up gr.Item Lava bones, amount: 4	
[4/15/23 08:40AM] Picked up gr.Item Blurite Ring, amount: 1	
[4/15/23 08:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:40AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:40AM] Picked up gr.Item Coin, amount: 400	
[4/15/23 08:40AM] Picked up gr.Item Coin, amount: 800	
[4/15/23 08:40AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 08:40AM] Picked up gr.Item Coin, amount: 1200	
[4/15/23 08:41AM] Picked up gr.Item Lava bones, amount: 1	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 800	
[4/15/23 08:41AM] Picked up gr.Item Lava bones, amount: 3	
[4/15/23 08:41AM] Picked up gr.Item Coin, amount: 400	
