[4/20/23 04:51PM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/20/23 04:56PM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/20/23 04:56PM] Gave item in trade to Ainokea. Id: 17818, amount: 100	
[4/20/23 04:56PM] Gave item in trade to Ainokea. Id: 995, amount: 1000000	
[4/20/23 04:56PM] Gave item in trade to Ainokea. Id: 3025, amount: 100	
[4/21/23 11:41PM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/21/23 11:46PM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/21/23 11:54PM] Login. ip: 72.130.133.245, mac: NXA9DAA001111150C1340020230113233500.000000-600, uuid: EA-F3-BC-52-02-D7	
[4/22/23 12:04AM] Picked up gr.Item Coin, amount: 1144875	
[4/22/23 12:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 04:04AM] Picked up gr.Item Coin, amount: 2393791	
[4/22/23 04:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 04:35AM] Picked up gr.Item Coin, amount: 3052988	
[4/22/23 04:35AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 04:36AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 04:36AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 04:36AM] Picked up gr.Item $25 Bond, amount: 1	
[4/22/23 04:37AM] Gave item in trade to Ainokea. Id: 23058, amount: 1	
[4/22/23 04:37AM] Gave item in trade to Ainokea. Id: 10946, amount: 1	
[4/22/23 04:37AM] Gave item in trade to Ainokea. Id: 995, amount: 6591654	
[4/22/23 05:04AM] Picked up gr.Item Coin, amount: 2325690	
[4/22/23 05:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 05:35AM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 05:35AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 05:38AM] Gave item in trade to Ainokea. Id: 10946, amount: 2	
[4/22/23 05:38AM] Gave item in trade to Ainokea. Id: 995, amount: 2325690	
[4/22/23 05:38AM] Gave item in trade to Ainokea. Id: 2023, amount: 515	
[4/22/23 05:38AM] Receiving item from trade with Ainokea Id: 18011, amount: 1	
[4/22/23 05:38AM] Receiving item from trade with Ainokea Id: 18001, amount: 1	
[4/22/23 05:38AM] Receiving item from trade with Ainokea Id: 18005, amount: 1	
[4/22/23 05:38AM] Receiving item from trade with Ainokea Id: 18009, amount: 1	
[4/22/23 05:38AM] Receiving item from trade with Ainokea Id: 18003, amount: 1	
[4/22/23 05:38AM] Receiving item from trade with Ainokea Id: 17999, amount: 1	
[4/22/23 05:38AM] Receiving item from trade with Ainokea Id: 2023, amount: 365	
[4/22/23 05:38AM] Player dropping item: Starter Boots, amount: 1	
[4/22/23 05:38AM] Player dropping item: Starter Cape, amount: 1	
[4/22/23 05:38AM] Player dropping item: Starter Body, amount: 1	
[4/22/23 05:38AM] Player dropping item: Starter Helm, amount: 1	
[4/22/23 05:38AM] Player dropping item: Starter Legs, amount: 1	
[4/22/23 05:39AM] Receiving item from trade with Ainokea Id: 1265, amount: 1	
[4/22/23 05:52AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 05:52AM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 05:53AM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/22/23 05:53AM] Gave item in trade to Ainokea. Id: 10946, amount: 5	
[4/22/23 06:04AM] Picked up gr.Item Coin, amount: 2241289	
[4/22/23 06:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 06:34AM] Picked up gr.Item Coin, amount: 3070303	
[4/22/23 06:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 06:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 06:35AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 07:04AM] Picked up gr.Item Coin, amount: 1481621	
[4/22/23 07:04AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 07:33AM] Picked up gr.Item Coin, amount: 1519921	
[4/22/23 07:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 07:34AM] Picked up gr.Item Coin, amount: 2194589	
[4/22/23 07:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 07:37AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 07:37AM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 07:38AM] Gave item in trade to Ainokea. Id: 10946, amount: 6	
[4/22/23 07:38AM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/22/23 08:03AM] Picked up gr.Item Coin, amount: 1645169	
[4/22/23 08:03AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 08:34AM] Picked up gr.Item Coin, amount: 2351994	
[4/22/23 08:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 08:34AM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 08:34AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 08:35AM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 08:35AM] Picked up gr.Item Lava bones, amount: 200	
[4/22/23 08:35AM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 03:54PM] Gave item in trade to Ainokea. Id: 10946, amount: 3	
[4/22/23 03:54PM] Gave item in trade to Ainokea. Id: 995, amount: 14504886	
[4/22/23 04:04PM] Picked up gr.Item Coin, amount: 1372496	
[4/22/23 04:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 04:12PM] Gave item in trade to Ainokea. Id: 23020, amount: 3	
[4/22/23 04:12PM] Gave item in trade to Ainokea. Id: 995, amount: 1372496	
[4/22/23 04:12PM] DEFAULT|2223,3747,0|Said: :afk	
[4/22/23 04:33PM] Picked up gr.Item Coin, amount: 2459880	
[4/22/23 04:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 04:34PM] Picked up gr.Item Coin, amount: 4140583	
[4/22/23 04:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 04:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 04:36PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 04:37PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 04:38PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 04:38PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 04:38PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 04:39PM] Gave item in trade to Ainokea. Id: 10946, amount: 11	
[4/22/23 04:39PM] Gave item in trade to Ainokea. Id: 995, amount: 6600463	
[4/22/23 04:39PM] Gave item in trade to Ainokea. Id: 23020, amount: 6	
[4/22/23 06:34PM] Picked up gr.Item Coin, amount: 1130947	
[4/22/23 06:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 06:35PM] Picked up gr.Item Coin, amount: 3578866	
[4/22/23 06:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 06:36PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 06:36PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 07:34PM] Picked up gr.Item Coin, amount: 1259239	
[4/22/23 07:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 07:35PM] Picked up gr.Item Coin, amount: 3363353	
[4/22/23 07:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 07:40PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 07:40PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 07:44PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 07:44PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 07:44PM] Gave item in trade to Ainokea. Id: 10946, amount: 11	
[4/22/23 07:44PM] Gave item in trade to Ainokea. Id: 23020, amount: 6	
[4/22/23 07:44PM] Gave item in trade to Ainokea. Id: 995, amount: 9332405	
[4/22/23 08:33PM] Picked up gr.Item Coin, amount: 1469888	
[4/22/23 08:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 08:34PM] Picked up gr.Item Coin, amount: 2150766	
[4/22/23 08:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 08:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 08:35PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 08:35PM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 08:35PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/22/23 09:32PM] AFK|3036,4060,0|Said: Hmm	
[4/22/23 09:34PM] Picked up gr.Item Coin, amount: 2404259	
[4/22/23 09:34PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 09:35PM] Picked up gr.Item Coin, amount: 2894665	
[4/22/23 09:35PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 09:35PM] Gave item in trade to Ainokea. Id: 10946, amount: 3	
[4/22/23 09:35PM] Gave item in trade to Ainokea. Id: 995, amount: 8919578	
[4/22/23 09:50PM] Defendhawaii received x2 1% DR & Double Drop Ticket from Vote Boss!	
[4/22/23 09:50PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 09:50PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 09:50PM] Picked up gr.Item 1% DR & Double Drop Ticket, amount: 2	
[4/22/23 09:53PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 09:53PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 09:55PM] Gave item in trade to Ainokea. Id: 10946, amount: 10	
[4/22/23 09:55PM] Gave item in trade to Ainokea. Id: 23020, amount: 6	
[4/22/23 10:22PM] (CC) Help. Said: 2x perk off any item	
[4/22/23 10:33PM] Picked up gr.Item Coin, amount: 2245894	
[4/22/23 10:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 10:34PM] Picked up gr.Item Coin, amount: 2567663	
[4/22/23 10:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 10:36PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 10:36PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 11:08PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 11:08PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 11:09PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 11:10PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 11:11PM] Gave item in trade to Ainokea. Id: 10946, amount: 11	
[4/22/23 11:11PM] Gave item in trade to Ainokea. Id: 23020, amount: 6	
[4/22/23 11:33PM] Picked up gr.Item Coin, amount: 1148714	
[4/22/23 11:33PM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 11:34PM] Picked up gr.Item Coin, amount: 2434395	
[4/22/23 11:34PM] Picked up gr.Item Lava bones, amount: 40	
[4/22/23 11:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 11:35PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 11:36PM] Picked up gr.Item Lava bones, amount: 300	
[4/22/23 11:36PM] Picked up gr.Item $1 Scroll, amount: 4	
[4/22/23 11:37PM] GLOBAL_BOSS|2139,5018,0|Said: :afk	
[4/22/23 11:38PM] Gave item in trade to Ainokea. Id: 10946, amount: 5	
[4/22/23 11:38PM] Gave item in trade to Ainokea. Id: 995, amount: 8396666	
[4/23/23 12:33AM] Picked up gr.Item Coin, amount: 1973031	
[4/23/23 12:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/23/23 12:34AM] Picked up gr.Item Coin, amount: 2067117	
[4/23/23 12:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/23/23 12:35AM] Picked up gr.Item Lava bones, amount: 200	
[4/23/23 12:35AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/23/23 12:51AM] Picked up gr.Item $1 Scroll, amount: 5	
[4/23/23 12:51AM] Picked up gr.Item Vote scroll, amount: 3	
[4/23/23 01:34AM] Picked up gr.Item Coin, amount: 1087105	
[4/23/23 01:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/23/23 02:33AM] Picked up gr.Item Coin, amount: 1556277	
[4/23/23 02:33AM] Picked up gr.Item Lava bones, amount: 25	
[4/23/23 02:34AM] Picked up gr.Item Coin, amount: 2463109	
[4/23/23 02:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/23/23 02:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/23/23 02:35AM] Picked up gr.Item $1 Scroll, amount: 1	
[4/23/23 02:36AM] Picked up gr.Item Lava bones, amount: 300	
[4/23/23 02:36AM] Picked up gr.Item $1 Scroll, amount: 2	
