[4/20/23 08:19AM] Login. ip: 86.129.61.216, mac: 7455238-00120230218051516.000000+000, uuid: 02-0C-43-01-74-5F	
[4/20/23 08:21AM] Receiving item from trade with Im A Potato Id: 23020, amount: 100	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 23058, amount: 3	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 23057, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15358, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15003, amount: 1	
[4/20/23 08:22AM] Gave item in trade to Im A Potato. Id: 15002, amount: 1	
