[4/22/23 06:30PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 06:30PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 06:32PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:32PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 06:34PM] Picked up gr.Item Lava bones, amount: 50	
[4/22/23 06:34PM] Picked up gr.Item Coin, amount: 1808301	
[4/22/23 06:35PM] Picked up gr.Item Lava bones, amount: 80	
[4/22/23 06:36PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 06:36PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 06:38PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/22/23 06:38PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/22/23 06:41PM] Receiving item from trade with Demon Id: 21018, amount: 1	
[4/22/23 06:41PM] Receiving item from trade with Demon Id: 18750, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Blade, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Boots, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Ring, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Helm, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Cannon, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Body, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Staff, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Legs, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Cape, amount: 1	
[4/22/23 06:42PM] Player dropping item: Starter Gloves, amount: 1	
[4/22/23 06:43PM] Picked up gr.Item Blurite Box, amount: 1	
[4/22/23 06:43PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/22/23 06:43PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/22/23 06:45PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/22/23 06:45PM] Picked up gr.Item Blurite Cape, amount: 1	
[4/22/23 06:46PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/22/23 06:46PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/22/23 06:46PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/22/23 06:47PM] Player dropping item: Starter Amulet, amount: 1	
[4/22/23 06:48PM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:48PM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:48PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/22/23 06:49PM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:49PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:49PM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:52PM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 06:52PM] Picked up gr.Item Coin, amount: 500	
[4/22/23 06:53PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 06:56PM] Login. ip: 142.114.56.172, mac: Default string20210329024716.000000-300, uuid: B4-2E-99-45-73-32	
[4/22/23 09:18PM] Receiving item from trade with Demon Id: 23051, amount: 1	
[4/22/23 09:18PM] Receiving item from trade with Demon Id: 23052, amount: 1	
[4/22/23 09:18PM] Receiving item from trade with Demon Id: 23054, amount: 1	
[4/22/23 09:50PM] DEFAULT|2223,3749,0|Said: '::voteboss	
[4/22/23 09:51PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 09:51PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 11:08PM] Picked up gr.Item $1 Scroll, amount: 5	
[4/22/23 11:08PM] Picked up gr.Item Vote scroll, amount: 3	
[4/22/23 11:09PM] Gave item in trade to Demon. Id: 23020, amount: 6	
[4/22/23 11:09PM] Gave item in trade to Demon. Id: 10946, amount: 11	
[4/22/23 11:09PM] Gave item in trade to Demon. Id: 15358, amount: 1	
[4/22/23 11:09PM] Gave item in trade to Demon. Id: 15359, amount: 1	
[4/22/23 11:09PM] Gave item in trade to Demon. Id: 2023, amount: 312	
[4/22/23 11:09PM] Gave item in trade to Demon. Id: 10835, amount: 922	
[4/22/23 11:09PM] Gave item in trade to Demon. Id: 995, amount: 13240177	
[4/22/23 11:33PM] Picked up gr.Item Coin, amount: 1736215	
[4/22/23 11:33PM] Picked up gr.Item Lava bones, amount: 50	
[4/22/23 11:34PM] Picked up gr.Item Lava bones, amount: 80	
[4/22/23 11:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/22/23 11:35PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/22/23 11:36PM] Picked up gr.Item Lava bones, amount: 600	
[4/22/23 11:36PM] Picked up gr.Item $1 Scroll, amount: 4	
[4/23/23 12:12AM] Gave item in trade to Demon. Id: 21018, amount: 1	
[4/23/23 12:12AM] Gave item in trade to Demon. Id: 10946, amount: 5	
[4/23/23 12:12AM] Gave item in trade to Demon. Id: 2023, amount: 830	
[4/23/23 12:33AM] Picked up gr.Item Coin, amount: 1190128	
[4/23/23 12:33AM] Picked up gr.Item Lava bones, amount: 50	
[4/23/23 12:34AM] Picked up gr.Item Coin, amount: 3321875	
[4/23/23 12:34AM] Picked up gr.Item Lava bones, amount: 40	
[4/23/23 12:35AM] Picked up gr.Item Lava bones, amount: 100	
[4/23/23 12:35AM] Picked up gr.Item $1 Scroll, amount: 1	
