[4/18/23 02:21PM] Login. ip: 82.11.109.234, mac: 173707000220211219132947.000000+000, uuid: 50-2B-73-D9-0B-7A	
[4/18/23 02:23PM] Picked up gr.Item Imperial Minigun, amount: 1	
[4/18/23 02:23PM] Player dropping item: Imperial Minigun, amount: 1	
[4/18/23 02:27PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 02:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 02:28PM] Picked up gr.Item Coin, amount: 100	
[4/18/23 02:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 02:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 02:28PM] Picked up gr.Item Lava bones, amount: 2	
[4/18/23 02:28PM] Picked up gr.Item Lava bones, amount: 1	
[4/18/23 02:28PM] Player dropping item: Starter Cape, amount: 1	
[4/18/23 02:28PM] Player dropping item: Starter Helm, amount: 1	
[4/18/23 02:28PM] Player dropping item: Starter Legs, amount: 1	
[4/18/23 02:28PM] Player dropping item: Starter Body, amount: 1	
[4/18/23 02:28PM] Player dropping item: Starter Blade, amount: 1	
[4/18/23 02:28PM] Player dropping item: Starter Cannon, amount: 1	
[4/18/23 02:30PM] Player dropping item: Starter Gloves, amount: 1	
[4/18/23 02:31PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/18/23 02:31PM] Player dropping item: Blurite Helm, amount: 1	
[4/18/23 02:33PM] Player dropping item: Starter Ring, amount: 1	
[4/18/23 02:33PM] Player dropping item: Starter Amulet, amount: 1	
[4/18/23 02:34PM] Picked up gr.Item Blurite Body, amount: 1	
[4/18/23 02:42PM] Picked up gr.Item Coin, amount: 2245522	
[4/18/23 02:42PM] Picked up gr.Item Lava bones, amount: 25	
