[4/16/23 01:06PM] Login. ip: 74.74.71.41, mac: 20201119035852.000000-300, uuid: 00-13-3B-0F-74-80	
[4/16/23 01:11PM] Picked up gr.Item Inferno Shield, amount: 1	
[4/16/23 01:12PM] Picked up gr.Item Inferno Body, amount: 1	
[4/16/23 01:12PM] Picked up gr.Item Aberrant Cape, amount: 1	
[4/16/23 01:12PM] Picked up gr.Item Aberrant Amulet, amount: 1	
[4/16/23 01:12PM] Picked up gr.Item Patience bow, amount: 1	
[4/16/23 01:12PM] Picked up gr.Item Zinq sword, amount: 1	
[4/16/23 01:12PM] Picked up gr.Item Aberrant Body, amount: 1	
[4/16/23 01:12PM] Picked up gr.Item Nagi Legs, amount: 1	
[4/16/23 01:12PM] Picked up gr.Item Aberrant Gloves, amount: 1	
[4/16/23 01:13PM] Picked up gr.Item Aberrant Boots, amount: 1	
[4/16/23 01:13PM] Picked up gr.Item Mystic book, amount: 1	
[4/16/23 01:13PM] Picked up gr.Item Mystic staff, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Boots, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Gloves, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Blade, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Body, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Defender, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Cape, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Staff, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Cannon, amount: 1	
[4/16/23 01:13PM] Player dropping item: Starter Amulet, amount: 1	
[4/16/23 01:14PM] Player dropping item: Blurite Helm, amount: 1	
[4/16/23 01:14PM] Player dropping item: Blurite Body, amount: 1	
[4/16/23 01:14PM] Player dropping item: Blurite Legs, amount: 1	
[4/16/23 01:17PM] Player dropping item: Blurite Gloves, amount: 1	
[4/16/23 01:17PM] Player dropping item: Blurite Cape, amount: 1	
[4/16/23 01:18PM] Player dropping item: Blurite Ring, amount: 1	
[4/16/23 01:18PM] Player dropping item: Blurite Amulet, amount: 1	
[4/16/23 01:18PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/16/23 01:18PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/16/23 01:19PM] Player dropping item: Starter Legs, amount: 1	
[4/16/23 01:21PM] Picked up gr.Item Blurite Cape, amount: 1	
[4/16/23 01:21PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/16/23 01:21PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/16/23 01:21PM] Picked up gr.Item Blurite Helm, amount: 1	
[4/16/23 01:21PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/16/23 01:21PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/16/23 01:21PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/16/23 01:22PM] Player dropping item: Starter Ring, amount: 1	
[4/16/23 01:22PM] Picked up gr.Item Coin, amount: 500	
[4/16/23 01:22PM] Picked up gr.Item Blurite Body, amount: 1	
[4/16/23 01:22PM] Picked up gr.Item Blurite Body, amount: 1	
[4/16/23 01:24PM] Picked up gr.Item Imperial Box, amount: 1	
[4/16/23 01:24PM] Picked up gr.Item Imperial Box, amount: 1	
[4/16/23 01:24PM] Player dropping item: Imperial Minigun, amount: 1	
[4/16/23 01:26PM] Picked up gr.Item Coin, amount: 700	
[4/16/23 01:26PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 01:27PM] Picked up gr.Item Imperial ring, amount: 1	
[4/16/23 01:27PM] Picked up gr.Item Imperial Box, amount: 1	
[4/16/23 01:27PM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 01:27PM] Picked up gr.Item Imperial boots, amount: 1	
[4/16/23 01:27PM] Picked up gr.Item Imperial legs, amount: 1	
[4/16/23 01:27PM] Picked up gr.Item Imperial legs, amount: 1	
[4/16/23 01:34PM] Player dropping item: Imperial Minigun, amount: 1	
[4/16/23 01:36PM] Picked up gr.Item Zinq legs, amount: 1	
[4/16/23 01:37PM] Picked up gr.Item Zinq helm, amount: 1	
