[4/20/23 02:50AM] Login. ip: 24.80.22.128, mac: 20200923010134.000000-480, uuid: F2-57-A6-9F-50-0B	
[4/20/23 02:51AM] Picked up gr.Item Coin, amount: 100	
[4/20/23 02:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:51AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 02:51AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:52AM] Picked up gr.Item Coin, amount: 200	
[4/20/23 02:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:52AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:54AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 02:54AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:55AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 02:55AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:55AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 02:56AM] Picked up gr.Item Blurite Ring, amount: 1	
[4/20/23 02:56AM] Picked up gr.Item Lava bones, amount: 4	
[4/20/23 02:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:56AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 02:56AM] Picked up gr.Item Lava bones, amount: 3	
[4/20/23 02:56AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 02:58AM] Picked up gr.Item Coin, amount: 400	
[4/20/23 02:58AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 02:58AM] Picked up gr.Item Lava bones, amount: 1	
[4/20/23 03:05AM] Picked up gr.Item Lava bones, amount: 5	
[4/20/23 03:05AM] Picked up gr.Item Coin, amount: 1000	
[4/20/23 03:06AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 03:06AM] Picked up gr.Item Lava bones, amount: 2	
[4/20/23 03:07AM] Picked up gr.Item Lava bones, amount: 1	
