[4/21/23 06:12PM] Login. ip: 50.89.235.187, mac: Default string20220121160303.000000-300, uuid: 9E-29-76-F5-1A-E5	
[4/21/23 06:14PM] Picked up gr.Item Coin, amount: 100	
[4/21/23 06:18PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 06:18PM] Picked up gr.Item Lava bones, amount: 2	
[4/21/23 06:35PM] (CC) Help. Said: How i get to merem	
[4/21/23 06:35PM] Picked up gr.Item Lava bones, amount: 100	
[4/21/23 06:35PM] Picked up gr.Item $1 Scroll, amount: 1	
[4/21/23 06:36PM] Picked up gr.Item $1 Scroll, amount: 2	
[4/21/23 06:37PM] Picked up gr.Item $1 Scroll, amount: 10	
[4/21/23 06:37PM] Picked up gr.Item Vote scroll, amount: 6	
[4/21/23 06:37PM] Has just redeemed a $1 Scroll successfully!	
[4/21/23 06:39PM] Picked up gr.Item Vote scroll, amount: 3	
[4/21/23 06:39PM] Picked up gr.Item $1 Scroll, amount: 10	
[4/21/23 06:39PM] Has just redeemed a $1 Scroll successfully!	
[4/24/23 03:07PM] Login. ip: 50.89.235.187, mac: Default string20220121160303.000000-300, uuid: 9E-29-76-F5-1A-E5	
[4/24/23 03:08PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/24/23 03:11PM] Picked up gr.Item Blurite Amulet, amount: 1	
[4/24/23 03:11PM] Player dropping item: Starter Amulet, amount: 1	
[4/24/23 03:11PM] Player dropping item: Starter Ring, amount: 1	
[4/24/23 03:12PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/24/23 03:14PM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/24/23 03:14PM] Player dropping item: Starter Boots, amount: 1	
[4/24/23 03:14PM] Player dropping item: Starter Gloves, amount: 1	
[4/24/23 03:14PM] Player dropping item: Starter Helm, amount: 1	
[4/24/23 03:14PM] Player dropping item: Starter Body, amount: 1	
[4/24/23 03:14PM] Player dropping item: Starter Cape, amount: 1	
[4/24/23 03:14PM] Player dropping item: Starter Legs, amount: 1	
[4/24/23 03:15PM] Picked up gr.Item Blurite Cape, amount: 1	
[4/24/23 03:16PM] Picked up gr.Item Blurite Boots, amount: 1	
[4/24/23 03:16PM] Picked up gr.Item Blurite Legs, amount: 1	
[4/24/23 03:18PM] Picked up gr.Item Blurite Cape, amount: 1	
[4/24/23 03:18PM] Picked up gr.Item Blurite Ring, amount: 1	
[4/24/23 03:19PM] Picked up gr.Item Blurite Legs, amount: 1	
