[4/16/23 09:58PM] Login. ip: 207.6.226.228, mac: DGE2JAA00223802A7E960020230224132220.000000-480, uuid: 3C-21-9C-F2-5B-C0	
[4/16/23 10:08PM] Receiving item from trade with Jroc Id: 8136, amount: 1	
[4/16/23 10:09PM] Picked up gr.Item Coin, amount: 100	
[4/16/23 10:14PM] Receiving item from trade with Jroc Id: 19886, amount: 1	
[4/16/23 10:14PM] Receiving item from trade with Jroc Id: 5012, amount: 1	
[4/16/23 10:26PM] Player dropping item: Imperial Minigun, amount: 1	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 995, amount: 128881	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 5023, amount: 41	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 8788, amount: 1	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 10835, amount: 7021	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 8136, amount: 1	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 19886, amount: 1	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 15250, amount: 1	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 5012, amount: 1	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 15358, amount: 1	
[4/16/23 10:35PM] Gave item in trade to Jroc. Id: 15359, amount: 1	
[4/16/23 10:47PM] Receiving item from trade with Jroc Id: 23020, amount: 1	
