[4/16/23 01:31AM] Login. ip: 85.149.102.157, mac: C5407D320211216093931.000000+060, uuid: 80-45-DD-B5-3D-16	
[4/16/23 01:31AM] (CC) Help. Said: Ty	
[4/16/23 01:32AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:33AM] Picked up gr.Item Coin, amount: 100	
[4/16/23 01:33AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:34AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:34AM] Picked up gr.Item Coin, amount: 400	
[4/16/23 01:34AM] Picked up gr.Item Lava bones, amount: 2	
[4/16/23 01:34AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:34AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:34AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:34AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:34AM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/16/23 01:34AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:35AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:35AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:36AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:36AM] Picked up gr.Item Coin, amount: 200	
[4/16/23 01:36AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:37AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:37AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:37AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:37AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] (CC) Help. Said: When can u get collectors?	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:38AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:39AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:39AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:39AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:40AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:40AM] Picked up gr.Item Lava bones, amount: 1	
[4/16/23 01:40AM] Picked up gr.Item Coin, amount: 300	
[4/16/23 01:40AM] Picked up gr.Item Lava bones, amount: 1	
