[4/21/23 02:03AM] Login. ip: 85.149.94.0, mac: NHQ7JEH00704204B7F340020230225173425.000000+060, uuid: C8-E2-65-89-1F-15	
[4/21/23 02:23AM] Login. ip: 85.149.94.0, mac: NHQ7JEH00704204B7F340020230225173425.000000+060, uuid: C8-E2-65-89-1F-15	
[4/21/23 02:24AM] Login. ip: 85.149.94.0, mac: NHQ7JEH00704204B7F340020230225173425.000000+060, uuid: C8-E2-65-89-1F-15	
[4/22/23 07:31AM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 07:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 07:32AM] Picked up gr.Item Coin, amount: 100	
[4/22/23 07:32AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 07:34AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 07:35AM] Picked up gr.Item Lava bones, amount: 80	
[4/22/23 07:37AM] Picked up gr.Item $1 Scroll, amount: 10	
[4/22/23 07:37AM] Picked up gr.Item Vote scroll, amount: 6	
[4/22/23 07:38AM] Picked up gr.Item Lava bones, amount: 1	
[4/22/23 07:38AM] Picked up gr.Item Blurite Body, amount: 1	
[4/22/23 07:39AM] Picked up gr.Item Lava bones, amount: 6	
[4/22/23 07:40AM] Picked up gr.Item Lava bones, amount: 2	
[4/22/23 07:42AM] Player dropping item: Starter Legs, amount: 1	
[4/22/23 07:42AM] Player dropping item: Starter Helm, amount: 1	
[4/22/23 07:42AM] Player dropping item: Starter Body, amount: 1	
[4/22/23 07:46AM] Picked up gr.Item Blurite Box, amount: 1	
[4/22/23 07:50AM] Picked up gr.Item Lava bones, amount: 4	
[4/22/23 07:57AM] Picked up gr.Item Lava bones, amount: 5	
[4/22/23 07:57AM] Picked up gr.Item Coin, amount: 300	
[4/22/23 08:00AM] Player dropping item: Starter Amulet, amount: 1	
[4/22/23 08:00AM] Player dropping item: Starter Ring, amount: 1	
[4/22/23 08:00AM] Player dropping item: Starter Cape, amount: 1	
[4/22/23 08:05AM] Picked up gr.Item Coin, amount: 1163194	
[4/22/23 08:05AM] Picked up gr.Item Lava bones, amount: 25	
[4/22/23 08:05AM] Player dropping item: Starter Blade, amount: 1	
[4/22/23 08:06AM] Picked up gr.Item Coin, amount: 400	
[4/22/23 08:07AM] Picked up gr.Item Coin, amount: 400	
[4/22/23 08:08AM] (CC) Help. Said: What is even a soldier lance lol	
[4/22/23 08:08AM] (CC) Help. Said: What does it do	
[4/22/23 09:04AM] Picked up gr.Item Coin, amount: 1329109	
[4/22/23 09:04AM] Picked up gr.Item Lava bones, amount: 50	
[4/22/23 09:05AM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/22/23 09:05AM] Picked up gr.Item Blurite Gloves, amount: 1	
[4/22/23 11:09AM] Player destroying item: -1, amount: 0	
[4/22/23 12:25PM] Login. ip: 85.149.94.0, mac: NHQ7JEH00704204B7F340020230225173425.000000+060, uuid: C8-E2-65-89-1F-15	
