[4/21/23 02:38PM] Login. ip: 98.97.19.178, mac: 5CD9342KJN20230126164727.000000-300, uuid: DC-71-96-30-EC-19	
[4/21/23 02:43PM] Player dropping item: Starter Helm, amount: 1	
[4/21/23 02:43PM] Player dropping item: Starter Body, amount: 1	
[4/21/23 02:43PM] Player dropping item: Starter Legs, amount: 1	
[4/21/23 02:43PM] Picked up gr.Item Coin, amount: 200	
[4/21/23 02:45PM] Player dropping item: Starter Cape, amount: 1	
[4/21/23 02:45PM] Player dropping item: Starter Boots, amount: 1	
[4/21/23 02:45PM] Player dropping item: Starter Gloves, amount: 1	
[4/21/23 02:48PM] (CC) Help. Said: ::train	
[4/21/23 02:50PM] Player dropping item: Starter Blade, amount: 1	
[4/21/23 02:50PM] Player dropping item: Starter Ring, amount: 1	
[4/21/23 02:50PM] Player dropping item: Starter Amulet, amount: 1	
[4/21/23 02:52PM] Player dropping item: Starter Cannon, amount: 1	
[4/21/23 02:53PM] Player dropping item: Starter Staff, amount: 1	
[4/21/23 02:53PM] Player dropping item: Blurite Box, amount: 1	
[4/21/23 02:53PM] Player dropping item: Blurite Box, amount: 1	
[4/21/23 03:02PM] Player dropping item: Lava bones, amount: 13	
[4/21/23 03:04PM] Picked up gr.Item Coin, amount: 2358157	
[4/21/23 03:04PM] Picked up gr.Item Lava bones, amount: 25	
[4/21/23 03:04PM] Player dropping item: Lava bones, amount: 25	
[4/21/23 03:06PM] Player dropping item: Blurite Katana, amount: 1	
[4/21/23 03:10PM] Player dropping item: Imperial body, amount: 1	
[4/21/23 03:10PM] Player dropping item: Imperial ring, amount: 1	
[4/21/23 03:10PM] Player dropping item: Imperial boots, amount: 1	
