[4/16/23 07:36PM] Player received drop: x1 Antique Helm, id: 8816, amount: 1, from: Avalon	
[4/16/23 08:54PM] Player received drop: x1 $25 Bond, id: 23058, amount: 1, from: Nine Tails	
[4/16/23 09:40PM] Player received drop: x1 Antique Staff, id: 23145, amount: 1, from: Eragon	
[4/16/23 10:06PM] Player received drop: x1 Antique Sword, id: 23146, amount: 1, from: Eragon	
[4/16/23 10:09PM] Player received drop: x1 Antique Staff, id: 23145, amount: 1, from: Eragon	
[4/17/23 09:53AM] Player received drop: x1 Maze Maul, id: 17710, amount: 1, from: Maze Guardian	
[4/17/23 11:28AM] Player received drop: x1 Unknown Helm, id: 21042, amount: 1, from: Miscreation	
[4/17/23 11:59AM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/17/23 12:02PM] Player received drop: x1 Titan Chaps, id: 8805, amount: 1, from: Avatar Titan	
[4/17/23 12:26PM] Player received drop: x1 Godly Bow, id: 21018, amount: 1, from: Death God	
[4/17/23 12:49PM] Player received drop: x1 Emerald Coif, id: 11001, amount: 1, from: Emerald Slayer	
[4/17/23 01:22PM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/17/23 02:03PM] Player received drop: x1 Emerald Chaps, id: 11003, amount: 1, from: Emerald Slayer	
[4/17/23 02:08PM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/17/23 09:38PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/18/23 12:14AM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/18/23 12:25AM] Player received drop: x1 Executive Boots, id: 8274, amount: 1, from: Gorvek	
[4/18/23 12:42AM] Player received drop: x1 $10 Bond, id: 23057, amount: 1, from: Final Boss Veigar	
[4/19/23 05:01PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/19/23 05:23PM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/19/23 05:53PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/20/23 06:05AM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/20/23 09:59AM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/20/23 12:09PM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/20/23 12:44PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/20/23 12:59PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
