[4/19/23 05:38PM] Player received drop: x1 Antique Staff, id: 23145, amount: 1, from: Eragon	
[4/20/23 11:08AM] Player received drop: x1 Unknown Gloves, id: 21046, amount: 1, from: Miscreation	
[4/20/23 11:39AM] Player received drop: x1 Titan Chaps, id: 8805, amount: 1, from: Avatar Titan	
[4/20/23 12:50PM] Player received drop: x1 $10 Bond, id: 23057, amount: 1, from: Final Boss Veigar	
[4/20/23 02:07PM] Player received drop: x1 Rogue Body, id: 17596, amount: 1, from: Sasuke	
[4/27/23 05:17PM] Player received drop: x1 Anchor (Special), id: 10887, amount: 1, from: Luffy	
[4/27/23 05:17PM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/27/23 05:17PM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/27/23 05:18PM] Player received drop: x1 Zircon (Wizard), id: 23092, amount: 1, from: Luffy	
[4/27/23 05:19PM] Player received drop: x1 Zircon (Ranger), id: 23093, amount: 1, from: Luffy	
[4/27/23 05:24PM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/27/23 05:31PM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/27/23 06:13PM] Player received drop: x1 Saint Body, id: 21029, amount: 1, from: Broly	
[4/27/23 06:14PM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/27/23 06:22PM] Player received drop: x1 Champion Body, id: 16023, amount: 1, from: Bowser	
[4/27/23 06:22PM] Player received drop: x1 Champion Off-Hand, id: 15818, amount: 1, from: Bowser	
[4/27/23 06:25PM] Player received drop: x1 Champion Gloves, id: 12994, amount: 1, from: Bowser	
[4/27/23 06:32PM] Player received drop: x1 Champion Body, id: 16023, amount: 1, from: Bowser	
[4/27/23 06:39PM] Player received drop: x1 Champion Gloves, id: 12994, amount: 1, from: Bowser	
