[4/17/23 11:09AM] Player received drop: x1 Majestic Box, id: 15004, amount: 1, from: Meruem The King	
[4/17/23 12:16PM] Player received drop: x1 Cursed Box, id: 15003, amount: 1, from: Vote Boss	
[4/20/23 11:37AM] Player received drop: x1 Doom Aura, id: 12614, amount: 1, from: Doomwatcher	
[4/20/23 12:33PM] Player received drop: x1 Maze Helm, id: 5420, amount: 1, from: Maze Guardian	
[4/21/23 11:07AM] Player received drop: x1 Unknown Body, id: 21043, amount: 1, from: Miscreation	
[4/22/23 08:24AM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/22/23 08:44AM] Player received drop: x1 Titan Body, id: 8804, amount: 1, from: Avatar Titan	
[4/22/23 08:54AM] Player received drop: x1 Lust Poncho, id: 8807, amount: 1, from: Zorbak	
[4/22/23 09:26AM] Player received drop: x1 Godly Gloves, id: 14055, amount: 1, from: Death God	
[4/22/23 09:43AM] Player received drop: x1 Gold Legs, id: 11179, amount: 1, from: Golden Golem	
[4/22/23 10:41AM] Player received drop: x1 Saint Body, id: 21029, amount: 1, from: Broly	
[4/22/23 01:39PM] Player received drop: x1 Rogue Body, id: 17596, amount: 1, from: Sasuke	
[4/22/23 01:39PM] Player received drop: x1 Rogue Helm, id: 22126, amount: 1, from: Sasuke	
[4/23/23 03:44AM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/23/23 04:44AM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/23/23 05:03AM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/26/23 10:53AM] Player received drop: x1 Nite Hammer Off-Hand, id: 17700, amount: 1, from: Dragonite	
[4/26/23 10:58AM] Player received drop: x1 Obsidian Aura, id: 12612, amount: 1, from: Asmodeus	
