[4/19/23 09:06AM] Player received drop: x1 Antique Sword, id: 23146, amount: 1, from: Eragon	
[4/19/23 09:59AM] Player received drop: x1 Antique Sword, id: 23146, amount: 1, from: Eragon	
[4/19/23 10:26AM] Player received drop: x1 Unknown Gloves, id: 21046, amount: 1, from: Miscreation	
[4/19/23 10:42AM] Player received drop: x1 Antique Boots, id: 8820, amount: 1, from: Avalon	
[4/20/23 08:27AM] Player received drop: x1 Antique Bow, id: 23144, amount: 1, from: Eragon	
[4/21/23 07:00AM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/21/23 07:23AM] Player received drop: x1 Gold Helm, id: 11183, amount: 1, from: Golden Golem	
[4/21/23 07:30AM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/22/23 03:21AM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/22/23 07:04AM] Player received drop: x1 Lili Legs, id: 22138, amount: 1, from: Lilinryss	
[4/22/23 07:19AM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
