[4/17/23 04:44AM] Player received drop: x1 Antique Legs, id: 8818, amount: 1, from: Avalon	
[4/17/23 01:19PM] Player received drop: x1 Emerald Body, id: 11002, amount: 1, from: Emerald Slayer	
[4/18/23 01:47AM] Player received drop: x1 Demonlord Body, id: 14178, amount: 1, from: Ag'Thomoth	
[4/18/23 06:17AM] Player received drop: x1 Obsidian Body, id: 23062, amount: 1, from: Asmodeus	
[4/18/23 06:44AM] Player received drop: x2 $25 Bond, id: 23058, amount: 2, from: Meruem The King	
[4/18/23 07:46AM] Player received drop: x1 Obsidian Crossbow Off-Hand, id: 23067, amount: 1, from: Asmodeus	
[4/18/23 09:13AM] Player received drop: x1 Onyx Legs, id: 20095, amount: 1, from: Onyx Griffin	
[4/18/23 11:24AM] Player received drop: x1 Groudon Aura, id: 15448, amount: 1, from: Groudon	
[4/18/23 12:00PM] Player received drop: x1 Lucifer legs, id: 22102, amount: 1, from: Lucifer	
[4/18/23 12:04PM] Player received drop: x1 Lucifer body, id: 22101, amount: 1, from: Lucifer	
[4/18/23 01:41PM] Player received drop: x1 Owner cape goodiebag, id: 3578, amount: 1, from: Nine Tails	
