[4/21/23 08:30AM] Player received drop: x1 Infamous Box, id: 20489, amount: 1, from: Meruem The King	
[4/22/23 07:13AM] Player received drop: x1 Antique Gloves, id: 8819, amount: 1, from: Avalon	
[4/22/23 07:15AM] Player received drop: x1 Antique Gloves, id: 8819, amount: 1, from: Avalon	
[4/22/23 07:18AM] Player received drop: x1 Antique Legs, id: 8818, amount: 1, from: Avalon	
[4/22/23 07:27AM] Player received drop: x1 Antique Sword, id: 23146, amount: 1, from: Eragon	
[4/22/23 07:45AM] Player received drop: x1 Antique Staff, id: 23145, amount: 1, from: Eragon	
[4/22/23 07:58AM] Player received drop: x1 Doom Body, id: 16021, amount: 1, from: Doomwatcher	
[4/22/23 08:10AM] Player received drop: x1 Maze Body, id: 5422, amount: 1, from: Maze Guardian	
[4/22/23 08:47AM] Player received drop: x1 Titan Body, id: 8804, amount: 1, from: Avatar Titan	
[4/22/23 08:55AM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/22/23 09:06AM] Player received drop: x1 Lust Legging, id: 8808, amount: 1, from: Zorbak	
