[4/19/23 05:00PM] Player received drop: x1 Unknown Body, id: 21043, amount: 1, from: Miscreation	
[4/19/23 05:32PM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/20/23 04:35AM] Player received drop: x1 Anchor (Special), id: 10887, amount: 1, from: Luffy	
[4/20/23 04:36AM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/20/23 04:37AM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/20/23 07:05AM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/20/23 07:18AM] Player received drop: x1 Doom Body, id: 16021, amount: 1, from: Doomwatcher	
[4/20/23 09:34AM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/20/23 10:35AM] Player received drop: x1 Champion Helm, id: 15924, amount: 1, from: Bowser	
[4/20/23 11:11AM] Player received drop: x1 Rogue Helm, id: 22126, amount: 1, from: Sasuke	
[4/21/23 08:23AM] Player received drop: x1 Antique Bow, id: 23144, amount: 1, from: Eragon	
[4/21/23 09:45AM] Player received drop: x1 Maze Helm, id: 5420, amount: 1, from: Maze Guardian	
[4/21/23 09:47AM] Player received drop: x1 Unknown Helm, id: 21042, amount: 1, from: Miscreation	
[4/21/23 09:48AM] Player received drop: x1 Unknown Gloves, id: 21046, amount: 1, from: Miscreation	
[4/21/23 11:32AM] Player received drop: x1 Godly Gloves, id: 14055, amount: 1, from: Death God	
[4/21/23 11:56AM] Player received drop: x1 Anchor (Special), id: 10887, amount: 1, from: Luffy	
[4/22/23 06:35PM] Player received drop: x1 Rogue Gloves, id: 22123, amount: 1, from: Sasuke	
[4/22/23 06:53PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/22/23 07:11PM] Player received drop: x1 Godly Gloves, id: 14055, amount: 1, from: Death God	
[4/22/23 07:15PM] Player received drop: x1 Godly Body, id: 14051, amount: 1, from: Death God	
[4/22/23 07:17PM] Player received drop: x1 Godly Gloves, id: 14055, amount: 1, from: Death God	
[4/22/23 07:46PM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/22/23 08:39PM] Player received drop: x1 Lust Legging, id: 8808, amount: 1, from: Zorbak	
[4/23/23 07:28AM] Player received drop: x1 Doom Body, id: 16021, amount: 1, from: Doomwatcher	
[4/23/23 07:30AM] Player received drop: x1 Doom Aura, id: 12614, amount: 1, from: Doomwatcher	
[4/23/23 07:31AM] Player received drop: x1 Doom Legs, id: 15933, amount: 1, from: Doomwatcher	
[4/23/23 08:02AM] Player received drop: x1 Maze Legs, id: 5428, amount: 1, from: Maze Guardian	
[4/23/23 08:12AM] Player received drop: x1 Maze Legs, id: 5428, amount: 1, from: Maze Guardian	
[4/23/23 09:51AM] Player received drop: x1 Zircon (Ranger), id: 23093, amount: 1, from: Luffy	
[4/23/23 11:07AM] Player received drop: x1 Onyx Griffin Pet, id: 19486, amount: 1, from: Onyx Griffin	
[4/24/23 07:40AM] Player received drop: x1 Saint Body, id: 21029, amount: 1, from: Broly	
[4/24/23 07:40AM] Player received drop: x1 Saint Legs, id: 21030, amount: 1, from: Broly	
[4/24/23 07:41AM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/24/23 07:42AM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/24/23 07:44AM] Player received drop: x1 Saint Legs, id: 21030, amount: 1, from: Broly	
[4/24/23 09:52AM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/24/23 10:12AM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
