[4/21/23 08:57AM] Player received drop: x1 Maze Cape, id: 17684, amount: 1, from: Maze Guardian	
[4/21/23 09:09AM] Player received drop: x1 Lust Staff, id: 8809, amount: 1, from: Zorbak	
[4/21/23 09:37AM] Player received drop: x1 Champion Helm, id: 15924, amount: 1, from: Bowser	
[4/22/23 08:59PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/23/23 11:26AM] Player received drop: x1 Malvek Pet, id: 19485, amount: 1, from: Malvek	
[4/23/23 12:06PM] Player received drop: x1 Majestic Box, id: 15004, amount: 1, from: Meruem The King	
[4/25/23 09:27AM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/25/23 12:41PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/25/23 12:46PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/25/23 12:49PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/25/23 12:52PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/25/23 01:00PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/25/23 01:06PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/25/23 01:18PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/25/23 01:28PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/25/23 01:29PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/25/23 01:49PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/25/23 01:49PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/25/23 01:53PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/25/23 02:23PM] Player received drop: x1 Zircon (Ranger), id: 23093, amount: 1, from: Luffy	
[4/25/23 03:23PM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/25/23 03:24PM] Player received drop: x1 Zircon (Wizard), id: 23092, amount: 1, from: Luffy	
[4/25/23 03:31PM] Player received drop: x1 Saint Helm, id: 21028, amount: 1, from: Broly	
[4/25/23 03:31PM] Player received drop: x1 Saint Legs, id: 21030, amount: 1, from: Broly	
[4/25/23 04:21PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
