[4/16/23 01:54PM] Player received drop: x1 Knight prayer scroll, id: 23165, amount: 1, from: Final Boss Veigar	
[4/17/23 11:03AM] Player received drop: x1 Majestic Box, id: 15004, amount: 1, from: Meruem The King	
[4/17/23 02:21PM] Player received drop: x1 Antique Legs, id: 8818, amount: 1, from: Avalon	
[4/17/23 03:04PM] Player received drop: x1 Antique Boots, id: 8820, amount: 1, from: Avalon	
[4/17/23 03:38PM] Player received drop: x1 Doom Helm, id: 15922, amount: 1, from: Doomwatcher	
[4/17/23 03:42PM] Player received drop: x1 Doom Legs, id: 15933, amount: 1, from: Doomwatcher	
[4/17/23 05:29PM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/17/23 05:50PM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/17/23 05:56PM] Player received drop: x1 Emerald Coif, id: 11001, amount: 1, from: Emerald Slayer	
[4/17/23 05:59PM] Player received drop: x1 Emerald Chaps, id: 11003, amount: 1, from: Emerald Slayer	
[4/18/23 01:16PM] Player received drop: x1 Obsidian Aura, id: 12612, amount: 1, from: Asmodeus	
[4/18/23 01:48PM] Player received drop: x1 Rune platebody (h2), id: 19486, amount: 1, from: Onyx Griffin	
