[4/21/23 08:45AM] Player received drop: x1 Antique Bow, id: 23144, amount: 1, from: Eragon	
[4/21/23 10:48AM] Player received drop: x1 Rogue Gloves, id: 22123, amount: 1, from: Sasuke	
[4/21/23 11:10AM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/21/23 08:07PM] Player received drop: x1 Executive Cape, id: 9939, amount: 1, from: Gorvek	
[4/26/23 12:08PM] Player received drop: x1 Gorvek Pet, id: 23081, amount: 1, from: Gorvek	
[4/26/23 04:54PM] Player received drop: x1 Saint Legs, id: 21030, amount: 1, from: Broly	
[4/26/23 05:14PM] Player received drop: x1 Saint Body, id: 21029, amount: 1, from: Broly	
[4/26/23 05:14PM] Player received drop: x1 Saint Legs, id: 21030, amount: 1, from: Broly	
[4/26/23 05:15PM] Player received drop: x1 Gold Enhancement, id: 17391, amount: 1, from: Broly	
[4/26/23 05:18PM] Player received drop: x1 Saint Legs, id: 21030, amount: 1, from: Broly	
[4/26/23 06:48PM] Player received drop: x1 Champion Off-Hand, id: 15818, amount: 1, from: Bowser	
[4/26/23 07:10PM] Player received drop: x1 Champion Helm, id: 15924, amount: 1, from: Bowser	
[4/26/23 07:13PM] Player received drop: x1 Champion Boots, id: 16272, amount: 1, from: Bowser	
[4/26/23 07:18PM] Player received drop: x1 Champion Wings, id: 17686, amount: 1, from: Bowser	
[4/26/23 07:18PM] Player received drop: x1 Champion Legs, id: 15935, amount: 1, from: Bowser	
[4/26/23 07:23PM] Player received drop: x2 1% DR & Double Drop Ticket, id: 21816, amount: 2, from: Vote Boss	
[4/26/23 07:24PM] Player received drop: x1 Champion Boots, id: 16272, amount: 1, from: Bowser	
[4/26/23 07:58PM] Player received drop: x1 Champion Body, id: 16023, amount: 1, from: Bowser	
[4/26/23 07:59PM] Player received drop: x1 Champion Whip, id: 15888, amount: 1, from: Bowser	
[4/26/23 08:02PM] Player received drop: x1 Rogue Sword, id: 22127, amount: 1, from: Sasuke	
[4/27/23 09:24AM] Player received drop: x1 Zircon (Wizard), id: 23092, amount: 1, from: Luffy	
[4/27/23 09:25AM] Player received drop: x1 Anchor (Special), id: 10887, amount: 1, from: Luffy	
