[4/16/23 12:28PM] Player received drop: x1 Maze Legs, id: 5428, amount: 1, from: Maze Guardian	
[4/17/23 08:37PM] Player received drop: x1 Emerald Coif, id: 11001, amount: 1, from: Emerald Slayer	
[4/18/23 06:57AM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/19/23 02:23AM] Player received drop: x1 Executive Body, id: 4685, amount: 1, from: Gorvek	
[4/19/23 02:50AM] Player received drop: x1 Executive Gloves, id: 8273, amount: 1, from: Gorvek	
[4/20/23 05:28PM] Player received drop: x1 Onyx Helm, id: 20427, amount: 1, from: Onyx Griffin	
[4/20/23 09:39PM] Player received drop: x1 Blood Vitur, id: 8136, amount: 1, from: Zeidan Grimm	
[4/22/23 02:35PM] Player received drop: x1 Majestic Box, id: 15004, amount: 1, from: Meruem The King	
[4/22/23 05:17PM] Player received drop: x1 Agumon Body, id: 22153, amount: 1, from: Agumon	
[4/22/23 06:18PM] Player received drop: x1 Miner chestplate (iron), id: 20582, amount: 1, from: White Beard	
[4/23/23 12:10AM] Player received drop: x1 Miner chestplate (rune), id: 20586, amount: 1, from: Slender Man	
[4/23/23 05:40AM] Player received drop: x1 Gladiator Helm, id: 15005, amount: 1, from: Ezkel-Nojad	
