[4/17/23 08:10AM] Player received drop: x2 1% DR & Double Drop Ticket, id: 21816, amount: 2, from: Vote Boss	
[4/17/23 09:44AM] Player received drop: x1 $25 Bond, id: 23058, amount: 1, from: Nine Tails	
[4/17/23 02:36PM] Player received drop: x1 Antique Boots, id: 8820, amount: 1, from: Avalon	
[4/17/23 02:40PM] Player received drop: x1 Antique Legs, id: 8818, amount: 1, from: Avalon	
[4/17/23 02:45PM] Player received drop: x1 Antique Gloves, id: 8819, amount: 1, from: Avalon	
[4/18/23 07:19AM] Player received drop: x1 Antique Bow, id: 23144, amount: 1, from: Eragon	
[4/18/23 08:05AM] Player received drop: x1 Maze Helm, id: 5420, amount: 1, from: Maze Guardian	
[4/18/23 08:15AM] Player received drop: x1 Maze Maul, id: 17710, amount: 1, from: Maze Guardian	
[4/18/23 08:26AM] Player received drop: x1 Maze Cape, id: 17684, amount: 1, from: Maze Guardian	
[4/18/23 10:49AM] Player received drop: x1 Anchor (Special), id: 10887, amount: 1, from: Luffy	
[4/18/23 02:32PM] Player received drop: x1 Champion Wings, id: 17686, amount: 1, from: Bowser	
[4/19/23 02:38PM] Player received drop: x1 Emerald Coif, id: 11001, amount: 1, from: Emerald Slayer	
[4/21/23 02:26PM] Player received drop: x1 Executive Body, id: 4685, amount: 1, from: Gorvek	
