[4/15/23 10:32PM] Player received drop: x2 $25 Bond, id: 23058, amount: 2, from: Meruem The King	
[4/16/23 09:00PM] Player received drop: x1 Antique Staff, id: 23145, amount: 1, from: Eragon	
[4/17/23 09:24PM] Player received drop: x1 Antique Bow, id: 23144, amount: 1, from: Eragon	
[4/17/23 09:52PM] Player received drop: x1 Doom Legs, id: 15933, amount: 1, from: Doomwatcher	
[4/17/23 10:09PM] Player received drop: x1 Doom Legs, id: 15933, amount: 1, from: Doomwatcher	
[4/17/23 10:11PM] Player received drop: x1 Doom Aura, id: 12614, amount: 1, from: Doomwatcher	
[4/17/23 10:15PM] Player received drop: x1 Doom Body, id: 16021, amount: 1, from: Doomwatcher	
[4/17/23 10:33PM] Player received drop: x1 Maze Helm, id: 5420, amount: 1, from: Maze Guardian	
[4/17/23 11:40PM] Player received drop: x1 Titan Body, id: 8804, amount: 1, from: Avatar Titan	
[4/17/23 11:50PM] Player received drop: x1 Titan Body, id: 8804, amount: 1, from: Avatar Titan	
[4/18/23 12:34PM] Player received drop: x1 Emerald Coif, id: 11001, amount: 1, from: Emerald Slayer	
[4/18/23 01:29PM] Player received drop: x1 Saint Body, id: 21029, amount: 1, from: Broly	
[4/18/23 02:06PM] Player received drop: x1 Rogue Helm, id: 22126, amount: 1, from: Sasuke	
