[4/17/23 07:05PM] Player received drop: x1 Gold Cape, id: 11762, amount: 1, from: Golden Golem	
[4/17/23 07:48PM] Player received drop: x1 Lust Visor, id: 8806, amount: 1, from: Zorbak	
[4/17/23 09:21PM] Player received drop: x1 Titan Chaps, id: 8805, amount: 1, from: Avatar Titan	
[4/18/23 12:42AM] Player received drop: x1 $10 Bond, id: 23057, amount: 1, from: Final Boss Veigar	
[4/18/23 02:30AM] Player received drop: x1 Antique Bow, id: 23144, amount: 1, from: Eragon	
[4/18/23 02:31AM] Player received drop: x1 Antique Sword, id: 23146, amount: 1, from: Eragon	
[4/18/23 12:38PM] Player received drop: x1 Doom Legs, id: 15933, amount: 1, from: Doomwatcher	
[4/18/23 05:49PM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/18/23 06:10PM] Player received drop: x1 Gold Cape, id: 11762, amount: 1, from: Golden Golem	
[4/18/23 07:36PM] Player received drop: x1 Zircon (Ranger), id: 23093, amount: 1, from: Luffy	
[4/19/23 08:37AM] Player received drop: x1 Malvek Legs, id: 19158, amount: 1, from: Malvek	
[4/19/23 04:11PM] Player received drop: x1 Adamant platebody (h2), id: 19485, amount: 1, from: Malvek	
[4/19/23 04:42PM] Player received drop: x1 Titan Chaps, id: 8805, amount: 1, from: Avatar Titan	
[4/20/23 05:13AM] Player received drop: x1 Groudon Aura, id: 15448, amount: 1, from: Groudon	
[4/20/23 05:24AM] Player received drop: x1 Majestic Box, id: 15004, amount: 1, from: Meruem The King	
[4/20/23 06:05AM] Player received drop: x1 Black platebody (h3), id: 19487, amount: 1, from: Zeidan Grimm	
[4/20/23 06:07AM] Player received drop: x1 Blood Legs, id: 8815, amount: 1, from: Zeidan Grimm	
[4/20/23 02:09PM] Player received drop: x1 Blood Helm, id: 8813, amount: 1, from: Zeidan Grimm	
[4/20/23 02:19PM] Player received drop: x1 Obsidian Aura, id: 12612, amount: 1, from: Asmodeus	
