[4/16/23 01:18PM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/16/23 05:13PM] Player received drop: x1 Antique Helm, id: 8816, amount: 1, from: Avalon	
[4/16/23 05:31PM] Player received drop: x1 Antique Helm, id: 8816, amount: 1, from: Avalon	
[4/16/23 07:20PM] Player received drop: x1 Doom Legs, id: 15933, amount: 1, from: Doomwatcher	
[4/19/23 04:16PM] Player received drop: x1 Demon Bow, id: 22134, amount: 1, from: Nine Tails	
[4/19/23 06:57PM] Player received drop: x1 Titan Chaps, id: 8805, amount: 1, from: Avatar Titan	
[4/19/23 07:14PM] Player received drop: x1 Prosperous prayer scroll, id: 23170, amount: 1, from: Final Boss Veigar	
[4/20/23 02:51PM] Player received drop: x1 Lust Staff, id: 8809, amount: 1, from: Zorbak	
[4/20/23 04:13PM] Player received drop: x1 Godly Boots, id: 14053, amount: 1, from: Death God	
[4/21/23 04:10PM] Player received drop: x1 Emerald Body, id: 11002, amount: 1, from: Emerald Slayer	
[4/21/23 05:23PM] Player received drop: x1 Rogue Body, id: 17596, amount: 1, from: Sasuke	
[4/21/23 05:31PM] Player received drop: x1 Godly Bow, id: 21018, amount: 1, from: Death God	
[4/21/23 06:42PM] Player received drop: x1 Gold Helm, id: 11183, amount: 1, from: Golden Golem	
[4/22/23 08:24AM] Player received drop: x1 Titan Chaps, id: 8805, amount: 1, from: Avatar Titan	
[4/22/23 08:55AM] Player received drop: x1 Godly Helm, id: 14050, amount: 1, from: Death God	
[4/22/23 10:19AM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/22/23 10:25AM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/22/23 10:27AM] Player received drop: x1 Titan Chaps, id: 8805, amount: 1, from: Avatar Titan	
[4/22/23 01:05PM] Player received drop: x1 Rune platebody (h2), id: 19486, amount: 1, from: Onyx Griffin	
[4/22/23 01:09PM] Player received drop: x1 Groudon Shield, id: 13964, amount: 1, from: Groudon	
