[4/15/23 10:06PM] Player received drop: x1 Unknown Helm, id: 21042, amount: 1, from: Miscreation	
[4/15/23 10:08PM] Player received drop: x1 Unknown Cape, id: 21045, amount: 1, from: Miscreation	
[4/17/23 04:11PM] Player received drop: x1 Rogue Boots, id: 22122, amount: 1, from: Sasuke	
[4/17/23 05:58PM] Player received drop: x1 Emerald Body, id: 11002, amount: 1, from: Emerald Slayer	
[4/17/23 06:31PM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/18/23 03:59AM] Player received drop: x1 Godly Boots, id: 14053, amount: 1, from: Death God	
[4/18/23 10:47AM] Player received drop: x1 Rogue Legs, id: 22125, amount: 1, from: Sasuke	
[4/18/23 10:55AM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/18/23 02:13PM] Player received drop: x1 Lust Poncho, id: 8807, amount: 1, from: Zorbak	
[4/18/23 02:15PM] Player received drop: x1 Lust Visor, id: 8806, amount: 1, from: Zorbak	
[4/18/23 02:48PM] Player received drop: x1 Emerald Chaps, id: 11003, amount: 1, from: Emerald Slayer	
[4/19/23 02:01PM] Player received drop: x1 Godly Body, id: 14051, amount: 1, from: Death God	
[4/19/23 03:58PM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/19/23 06:36PM] Player received drop: x1 Gold Gloves, id: 11181, amount: 1, from: Golden Golem	
[4/19/23 06:59PM] Player received drop: x1 Solar Robe Top, id: 15646, amount: 1, from: Sanctum Golem	
[4/19/23 07:03PM] Player received drop: x1 Antique Boots, id: 8820, amount: 1, from: Avalon	
[4/19/23 07:03PM] Player received drop: x1 Antique Body, id: 8817, amount: 1, from: Avalon	
[4/19/23 07:03PM] Player received drop: x1 Antique Helm, id: 8816, amount: 1, from: Avalon	
[4/19/23 07:06PM] Player received drop: x1 Antique Body, id: 8817, amount: 1, from: Avalon	
[4/19/23 07:07PM] Player received drop: x1 Antique Body, id: 8817, amount: 1, from: Avalon	
[4/19/23 07:09PM] Player received drop: x1 Antique Legs, id: 8818, amount: 1, from: Avalon	
[4/19/23 07:10PM] Player received drop: x1 Antique Body, id: 8817, amount: 1, from: Avalon	
[4/19/23 07:11PM] Player received drop: x1 Antique Gloves, id: 8819, amount: 1, from: Avalon	
[4/19/23 07:14PM] Player received drop: x1 Antique Staff, id: 23145, amount: 1, from: Eragon	
[4/19/23 07:31PM] Player received drop: x1 Saint Helm, id: 21028, amount: 1, from: Broly	
[4/19/23 07:31PM] Player received drop: x1 Saint Legs, id: 21030, amount: 1, from: Broly	
[4/19/23 07:32PM] Player received drop: x1 Saint Body, id: 21029, amount: 1, from: Broly	
[4/19/23 07:33PM] Player received drop: x1 Saint Body, id: 21029, amount: 1, from: Broly	
[4/19/23 07:36PM] Player received drop: x1 Lust Legging, id: 8808, amount: 1, from: Zorbak	
[4/19/23 07:39PM] Player received drop: x1 Godly Cape, id: 1485, amount: 1, from: Death God	
