[4/21/23 04:13AM] Player received drop: x1 Titan Body, id: 8804, amount: 1, from: Avatar Titan	
[4/23/23 02:09AM] Player received drop: x1 Antique Body, id: 8817, amount: 1, from: Avalon	
[4/23/23 06:08AM] Player received drop: x1 Antique Sword, id: 23146, amount: 1, from: Eragon	
[4/23/23 06:18AM] Player received drop: x1 Doom Aura, id: 12614, amount: 1, from: Doomwatcher	
[4/23/23 08:13AM] Player received drop: x1 Emerald Body, id: 11002, amount: 1, from: Emerald Slayer	
[4/23/23 08:14AM] Player received drop: x1 Emerald Crossbow, id: 8088, amount: 1, from: Emerald Slayer	
[4/23/23 08:46AM] Player received drop: x1 Zircon (Wizard), id: 23092, amount: 1, from: Luffy	
[4/23/23 09:45PM] Player received drop: x1 Champion Legs, id: 15935, amount: 1, from: Bowser	
[4/23/23 09:57PM] Player received drop: x1 Rogue Helm, id: 22126, amount: 1, from: Sasuke	
[4/23/23 10:03PM] Player received drop: x1 Rogue Sword, id: 22127, amount: 1, from: Sasuke	
[4/23/23 10:13PM] Player received drop: x1 Rogue Aura, id: 12610, amount: 1, from: Sasuke	
[4/24/23 06:40AM] Player received drop: x1 Marksman prayer scroll, id: 23168, amount: 1, from: Vote Boss	
