[4/23/23 08:32AM] Player received drop: x1 Saint Helm, id: 21028, amount: 1, from: Broly	
[4/23/23 09:37AM] Player received drop: x1 $25 Bond, id: 23058, amount: 1, from: Nine Tails	
[4/23/23 09:43AM] Player received drop: x1 $25 Bond, id: 23058, amount: 1, from: Vote Boss	
[4/23/23 10:19AM] Player received drop: x1 Saint Legs, id: 21030, amount: 1, from: Broly	
[4/23/23 11:22AM] Player received drop: x1 Titan Chaps, id: 8805, amount: 1, from: Avatar Titan	
[4/23/23 11:40AM] Player received drop: x1 Zircon (Ranger), id: 23093, amount: 1, from: Luffy	
[4/23/23 04:21PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/23/23 04:25PM] Player received drop: x1 Solar Robe Bottom, id: 15647, amount: 1, from: Sanctum Golem	
[4/23/23 04:29PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/23/23 07:28PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/25/23 05:41PM] Player received drop: x1 Sanctum Golem Pet, id: 19481, amount: 1, from: Sanctum Golem	
[4/25/23 05:59PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
