[4/22/23 04:27AM] Player received drop: x1 Anchor (Special), id: 10887, amount: 1, from: Luffy	
[4/22/23 06:48AM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/22/23 06:50AM] Player received drop: x1 Gold Glaive, id: 7014, amount: 1, from: Golden Golem	
[4/22/23 08:47AM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/22/23 08:47AM] Player received drop: x1 Zircon (Warrior), id: 23094, amount: 1, from: Luffy	
[4/22/23 09:27AM] Player received drop: x1 Titan Helm, id: 8803, amount: 1, from: Avatar Titan	
[4/22/23 10:38AM] Player received drop: x1 $25 Bond, id: 23058, amount: 1, from: Nine Tails	
[4/22/23 02:56PM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/22/23 03:21PM] Player received drop: x1 Solar Staff, id: 22135, amount: 1, from: Sanctum Golem	
[4/23/23 05:18AM] Player received drop: x1 Solar Hood, id: 15645, amount: 1, from: Sanctum Golem	
[4/24/23 01:49PM] Player received drop: x1 Rogue Gloves, id: 22123, amount: 1, from: Sasuke	
