[4/15/23 12:03AM] Sender: Alex, Message: Also, do ::ref walkchaos and ::totem for a buff	
[4/15/23 12:04AM] Sender: Nick, Message: Awesome!	
[4/15/23 12:06AM] Sender: Alex, Message: Sup guys, do ::ref walkchaos and ::totem for a buff	
[4/15/23 12:06AM] Sender: Alex, Message: I'll go rest a bit, i gotta be up in 3 hours lol. ill be on discord if anything	
[4/15/23 12:11AM] Sender: Ronnie v2, Message: Hi hi	
[4/15/23 12:11AM] Sender: Kebintea, Message: Hi	
[4/15/23 12:11AM] Sender: Kandonas, Message: Hello	
[4/15/23 12:11AM] Sender: Nick, Message: Yo	
[4/15/23 12:12AM] Sender: Ronnie v2, Message: Yo	
[4/15/23 12:13AM] Sender: Ronnie v2, Message: Any referrals?	
[4/15/23 12:13AM] Sender: Kandonas, Message: Walkchaos	
[4/15/23 12:13AM] Sender: Ronnie v2, Message: Ty	
[4/15/23 12:13AM] Sender: Kandonas, Message: Np	
[4/15/23 12:14AM] Sender: Kandonas, Message: And ::totem for boost  you stats:)	
[4/15/23 12:14AM] Sender: Ronnie v2, Message: Tyty	
[4/15/23 12:19AM] Sender: Ronnie v2, Message: Whats the max skill level? :o	
[4/15/23 12:21AM] Sender: Nelly, Message: Heya	
[4/15/23 12:21AM] Sender: Kebintea, Message: Welcome	
[4/15/23 12:21AM] Sender: Ronnie v2, Message: Welcome	
[4/15/23 12:21AM] Sender: Nelly, Message: Tyty	
[4/15/23 12:26AM] Sender: Nelly, Message: Gz	
[4/15/23 12:36AM] Sender: Nelly, Message: Welcome	
[4/15/23 12:36AM] Sender: Swedbank, Message: Aye we back	
[4/15/23 12:38AM] Sender: Swedbank, Message: Oh fuck i i took normal. wtf	
[4/15/23 12:39AM] Sender: Swedbank, Message:  aleex	
[4/15/23 12:49AM] Sender: Nelly, Message: Gz	
[4/15/23 12:54AM] Sender: Mysterious, Message: What's good fam	
[4/15/23 12:55AM] Sender: Nelly, Message: Hey	
[4/15/23 12:55AM] Sender: Ronnie v2, Message: Hi	
[4/15/23 12:56AM] Sender: Kandonas, Message: Where i can change prayer?	
[4/15/23 12:56AM] Sender: Nelly, Message: Home altar	
[4/15/23 12:58AM] Sender: Kandonas, Message: Where are upgrade table	
[4/15/23 01:00AM] Sender: Kandonas, Message: Come kill vboss	
[4/15/23 01:00AM] Sender: Nick, Message: Omw	
[4/15/23 01:01AM] Sender: Kandonas, Message: Fck its take ages:d	
[4/15/23 01:01AM] Sender: Nick, Message: Yeaaa later lol	
[4/15/23 01:01AM] Sender: Nick, Message: Not gonna happen yet lol	
[4/15/23 01:02AM] Sender: Nelly, Message: Yea lol	
[4/15/23 01:11AM] Sender: Tew, Message: Aye ::vote guys	
[4/15/23 01:11AM] Sender: Nelly, Message: Did sir :)	
[4/15/23 01:11AM] Sender: Ronnie v2, Message: Did	
[4/15/23 01:11AM] Sender: Tew, Message:  lol veteran is slow as fuck ngl	
[4/15/23 01:11AM] Sender: Nick, Message: So damn slow lol	
[4/15/23 01:11AM] Sender: Nelly, Message: Xd	
[4/15/23 01:12AM] Sender: Nick, Message: Starting to think the dr boost ain't worth it tbh	
[4/15/23 01:12AM] Sender: Tew, Message: But worth.	
[4/15/23 01:12AM] Sender: Nick, Message: Dikkk man lol	
[4/15/23 01:12AM] Sender: Nick, Message: Idkkk***	
[4/15/23 01:12AM] Sender: Tew, Message:  it will be. i remember when we was playing beta.	
[4/15/23 01:12AM] Sender: Tew, Message: We was getting so much shit. while normals was getting nothing	
[4/15/23 01:13AM] Sender: Mysterious, Message: Yeah it'll be worth it	
[4/15/23 01:14AM] Sender: Nick, Message: 5 wings so far at wyverns lol	
[4/15/23 01:14AM] Sender: Nick, Message: From the dry streak	
[4/15/23 01:14AM] Sender: Nick, Message: Not drops haha	
[4/15/23 01:17AM] Sender: Tew, Message:  remember use buff totem at home.	
[4/15/23 01:17AM] Sender: Nelly, Message: O ye dang	
[4/15/23 01:17AM] Sender: Nelly, Message: Ty	
[4/15/23 01:19AM] Sender: Tew, Message:  nick try get 99 mining on here.	
[4/15/23 01:20AM] Sender: Tew, Message: And you will find something that is slow	
[4/15/23 01:20AM] Sender: Nick, Message: I'll pass hahah	
[4/15/23 01:22AM] Sender: Nelly, Message: Gz	
[4/15/23 01:24AM] Sender: Nelly, Message: Welcome	
[4/15/23 01:24AM] Sender: Tew, Message: Eyyyyyyyyyyyyyy	
[4/15/23 01:24AM] Sender: Mysterious, Message: Welcome	
[4/15/23 01:24AM] Sender: Rks, Message: Wazaa 	
[4/15/23 01:24AM] Sender: Rks, Message: We live?	
[4/15/23 01:25AM] Sender: Tew, Message: We are	
[4/15/23 01:25AM] Sender: Rks, Message: Oh, damn! 	
[4/15/23 01:26AM] Sender: Tew, Message:  i might get that owner cape doe	
[4/15/23 01:26AM] Sender: Tew, Message: Cheep	
[4/15/23 01:26AM] Sender: Nelly, Message: /how  get upgade tokens?	
[4/15/23 01:27AM] Sender: Rks, Message: Glad the server is live 	
[4/15/23 01:27AM] Sender: Nelly, Message: Im new but same its dope	
[4/15/23 01:28AM] Sender: Rks, Message: I was a beta tester lol	
[4/15/23 01:29AM] Sender: Nelly, Message: Gz	
[4/15/23 01:29AM] Sender: Tew, Message: Where do i get pickaxxeeee. 	
[4/15/23 01:29AM] Sender: Ronnie v2, Message: Nice 6k stats	
[4/15/23 01:29AM] Sender: Nelly, Message: Oof	
[4/15/23 01:29AM] Sender: Nick, Message: Damn nice	
[4/15/23 01:29AM] Sender: Rks, Message: Pog	
[4/15/23 01:30AM] Sender: Nelly, Message: Gz	
[4/15/23 01:30AM] Sender: Ronnie v2, Message: Did 100 bury bones achievement for the box	
[4/15/23 01:30AM] Sender: Tew, Message: Im stupid or what, where do i get pickaxe.	
