[4/21/23 01:19AM] Received item from Killer Froob. Name: Revenant whip. Id: 18011, amount: 1	
[4/21/23 01:19AM] Received item from Killer Froob. Name: Imperial gloves. Id: 20091, amount: 1	
[4/21/23 01:19AM] Received item from Killer Froob. Name: Lava bones. Id: 2023, amount: 190	
[4/22/23 01:49AM] Received item from Killer Froob. Name: $1 Scroll. Id: 10946, amount: 17	
[4/22/23 01:45PM] Gave item to Killer Froob. Name: Lust Staff. Id: 8809, amount: 1	
[4/22/23 03:11PM] Gave item to Killer Froob. Name: Executive Bow. Id: 5012, amount: 1	
[4/22/23 03:11PM] Gave item to Killer Froob. Name: Infinite overload potion (T1). Id: 23124, amount: 1	
[4/22/23 04:39PM] Received item from Killer Froob. Name: $1 Scroll. Id: 10946, amount: 15	
[4/22/23 04:39PM] Received item from Killer Froob. Name: Vote scroll. Id: 23020, amount: 21	
[4/22/23 05:37PM] Received item from Killer Froob. Name: $1 Scroll. Id: 10946, amount: 2	
[4/22/23 05:59PM] Received item from Killer Froob. Name: Tarn token. Id: 10835, amount: 62376	
[4/22/23 07:35PM] Gave item to Killer Froob. Name: Collector necklace II. Id: 19888, amount: 1	
[4/23/23 11:44AM] Received item from Killer Froob. Name: Executive Bow. Id: 5012, amount: 1	
[4/23/23 11:44AM] Received item from Killer Froob. Name: Mystic book. Id: 23027, amount: 1	
[4/26/23 12:29PM] Received item from Killer Froob. Name: Shinigami Sword. Id: 13333, amount: 1	
[4/26/23 03:38PM] Gave item to 2147m. Name: Fazula Staff. Id: 4071, amount: 1	
[4/26/23 03:38PM] Received item from 2147m. Name: Solar Staff. Id: 22135, amount: 1	
[4/26/23 03:38PM] Received item from 2147m. Name: Tarn token. Id: 10835, amount: 6500000	
[4/26/23 07:52PM] Received item from Killer Froob. Name: Vote scroll. Id: 23020, amount: 9	
[4/26/23 07:52PM] Received item from Killer Froob. Name: $1 Scroll. Id: 10946, amount: 12	
[4/26/23 10:50PM] Gave item to Killer Froob. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Gave item to Killer Froob. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Gave item to Killer Froob. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Gave item to Killer Froob. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Gave item to Killer Froob. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Gave item to Killer Froob. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/26/23 11:00PM] Gave item to Killer Froob. Name: Gladiator Legs. Id: 15007, amount: 1	
[4/27/23 11:10AM] Received item from Killer Froob. Name: Tarn token. Id: 10835, amount: 2628125	
