[4/22/23 02:33PM] Received item from O T T E R. Name: Executive Cape. Id: 9939, amount: 1	
[4/22/23 02:39PM] Received item from O T T E R. Name: Blood Legs. Id: 8815, amount: 1	
[4/22/23 02:39PM] Received item from O T T E R. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/22/23 02:39PM] Received item from O T T E R. Name: Gorvek Pet. Id: 23081, amount: 1	
[4/22/23 02:39PM] Received item from O T T E R. Name: Solar Hood. Id: 15645, amount: 1	
[4/22/23 02:39PM] Received item from O T T E R. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/22/23 02:40PM] Received item from O T T E R. Name: Rogue Gloves. Id: 22123, amount: 1	
[4/22/23 02:57PM] Received item from O T T E R. Name: Groudon Helm. Id: 21934, amount: 1	
[4/22/23 03:03PM] Gave item to O T T E R. Name: Imperial Whip. Id: 18750, amount: 1	
[4/22/23 03:05PM] Received item from O T T E R. Name: Imperial Whip. Id: 18750, amount: 1	
[4/22/23 03:05PM] Received item from O T T E R. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 03:26PM] Gave item to Pvmking. Name: Mystic body. Id: 23022, amount: 1	
[4/22/23 03:26PM] Gave item to Pvmking. Name: Mystic gloves. Id: 23024, amount: 1	
[4/22/23 03:27PM] Gave item to Pvmking. Name: Mystic book. Id: 23027, amount: 1	
[4/22/23 03:28PM] Gave item to Pvmking. Name: Mystic boots. Id: 23025, amount: 1	
[4/22/23 03:28PM] Gave item to Pvmking. Name: Mystic staff. Id: 23026, amount: 1	
[4/22/23 05:52PM] Gave item to Army. Name: $1 Scroll. Id: 10946, amount: 11	
[4/22/23 05:52PM] Received item from Army. Name: Solar Staff. Id: 22135, amount: 1	
[4/23/23 06:24PM] Gave item to O T T E R. Name: Tarn token. Id: 10835, amount: 900000	
[4/23/23 06:24PM] Received item from O T T E R. Name: Gladiator Legs. Id: 15007, amount: 1	
[4/23/23 06:27PM] Received item from O T T E R. Name: Lili Aura. Id: 22142, amount: 1	
[4/23/23 11:28PM] Received item from O T T E R. Name: Lilinryss Pet. Id: 19489, amount: 1	
[4/23/23 11:32PM] Received item from O T T E R. Name: Calamity Pet. Id: 20585, amount: 1	
[4/24/23 09:51AM] Received item from O T T E R. Name: Groudon Shield. Id: 13964, amount: 1	
[4/24/23 12:03PM] Received item from O T T E R. Name: Groudon Boots. Id: 3107, amount: 1	
[4/24/23 12:56PM] Gave item to Feed My Iron. Name: Solar Staff. Id: 22135, amount: 1	
[4/24/23 12:56PM] Received item from Feed My Iron. Name: Tarn token. Id: 10835, amount: 225000	
[4/24/23 01:06PM] Received item from O T T E R. Name: Mystic book. Id: 23027, amount: 1	
[4/24/23 01:16PM] Received item from O T T E R. Name: Vote scroll. Id: 23020, amount: 2	
[4/24/23 01:17PM] Received item from O T T E R. Name: $1 Scroll. Id: 10946, amount: 14	
[4/24/23 01:59PM] Received item from O T T E R. Name: Mystic body. Id: 23022, amount: 1	
[4/24/23 05:04PM] Received item from O T T E R. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/24/23 05:05PM] Received item from O T T E R. Name: Agumon Pet. Id: 19495, amount: 1	
[4/24/23 05:05PM] Received item from O T T E R. Name: Virtuoso Pet. Id: 19494, amount: 1	
[4/24/23 05:28PM] Received item from O T T E R. Name: Tyrant Helm. Id: 14190, amount: 1	
[4/24/23 05:28PM] Received item from O T T E R. Name: Tyrant Body. Id: 14192, amount: 1	
[4/24/23 05:28PM] Received item from O T T E R. Name: Tyrant Legs. Id: 14194, amount: 1	
[4/24/23 05:29PM] Gave item to O T T E R. Name: Tyrant Legs. Id: 14194, amount: 1	
[4/24/23 05:43PM] Received item from O T T E R. Name: Tarn token. Id: 10835, amount: 1416381	
[4/24/23 05:43PM] Received item from O T T E R. Name: $1 Scroll. Id: 10946, amount: 13	
[4/24/23 05:46PM] Gave item to Entropy. Name: Tarn token. Id: 10835, amount: 4157478	
[4/24/23 05:46PM] Gave item to Entropy. Name: $10 Bond. Id: 23057, amount: 1	
[4/24/23 05:46PM] Gave item to Entropy. Name: $1 Scroll. Id: 10946, amount: 60	
[4/24/23 05:46PM] Received item from Entropy. Name: Lili Staff. Id: 22143, amount: 1	
[4/24/23 05:47PM] Gave item to O T T E R. Name: $1 Scroll. Id: 10946, amount: 7	
[4/24/23 05:57PM] Received item from O T T E R. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/24/23 05:57PM] Received item from O T T E R. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/24/23 05:57PM] Received item from O T T E R. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/24/23 05:57PM] Received item from O T T E R. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/24/23 06:00PM] Gave item to O T T E R. Name: $1 Scroll. Id: 10946, amount: 5	
[4/24/23 07:01PM] Gave item to Deox. Name: Gold Helm. Id: 11183, amount: 1	
[4/24/23 07:01PM] Gave item to Deox. Name: Gold Body. Id: 11184, amount: 1	
[4/24/23 07:01PM] Gave item to Deox. Name: Gold Glaive. Id: 7014, amount: 1	
[4/24/23 07:01PM] Gave item to Deox. Name: Gold Cape. Id: 11762, amount: 1	
[4/24/23 07:01PM] Gave item to Deox. Name: Gold Legs. Id: 11179, amount: 1	
[4/24/23 07:01PM] Gave item to Deox. Name: Gold Boots. Id: 11182, amount: 1	
[4/24/23 07:01PM] Gave item to Deox. Name: Gold Gloves. Id: 11181, amount: 1	
[4/24/23 07:24PM] Gave item to Medusa. Name: Emerald Coif. Id: 11001, amount: 1	
[4/24/23 07:24PM] Gave item to Medusa. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/24/23 07:24PM] Gave item to Medusa. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/24/23 09:26PM] Received item from O T T E R. Name: Vote scroll. Id: 23020, amount: 1	
[4/24/23 09:27PM] Gave item to O T T E R. Name: $25 Bond. Id: 23058, amount: 1	
