[4/19/23 02:51PM] Gave item to Sad. Name: Coin. Id: 995, amount: 531	
[4/19/23 02:51PM] Gave item to Sad. Name: Tarn token. Id: 10835, amount: 16057	
[4/19/23 02:51PM] Gave item to Sad. Name: Vote scroll. Id: 23020, amount: 5	
[4/19/23 02:51PM] Gave item to Sad. Name: $1 Scroll. Id: 10946, amount: 5	
[4/19/23 02:51PM] Gave item to Sad. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/19/23 02:51PM] Gave item to Sad. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/19/23 02:52PM] Gave item to Sad. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/19/23 02:52PM] Gave item to Sad. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/19/23 02:52PM] Gave item to Sad. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/19/23 02:52PM] Gave item to Sad. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/19/23 02:52PM] Gave item to Sad. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
