[4/16/23 10:39AM] Gave item to Bolachax. Name: Blurite Cape. Id: 20400, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Blurite Boots. Id: 19989, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Blurite Helm. Id: 19984, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Collector Amulet III. Id: 18888, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Blurite Legs. Id: 19986, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Forsaken Body. Id: 14911, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Blurite Gloves. Id: 19988, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Lust Staff. Id: 8809, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/16/23 10:39AM] Gave item to Bolachax. Name: Coin. Id: 995, amount: 35200	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Vote scroll. Id: 23020, amount: 2	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Lava bones. Id: 2023, amount: 179	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Blurite Box. Id: 14488, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Blurite Box. Id: 14488, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Blurite Box. Id: 14488, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Blurite Box. Id: 14488, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Blurite Box. Id: 14488, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Blurite Box. Id: 14488, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Blurite Box. Id: 14488, amount: 1	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Tarn token. Id: 10835, amount: 613	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Coin. Id: 995, amount: 12610064	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Fury shark. Id: 17818, amount: 100	
[4/16/23 10:40AM] Gave item to Bolachax. Name: Super restore (4). Id: 3025, amount: 100	
