[4/17/23 05:31PM] Gave item to Smokin. Name: Imperial Whip. Id: 18750, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: Imperial Minigun. Id: 18636, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: Aberrant Gloves. Id: 11140, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: Vote scroll. Id: 23020, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: Tarn token. Id: 10835, amount: 592	
[4/17/23 05:31PM] Gave item to Smokin. Name: Coin. Id: 995, amount: 7533740	
[4/17/23 05:31PM] Gave item to Smokin. Name: Starter Blade. Id: 22084, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/17/23 05:31PM] Gave item to Smokin. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Aberrant Gloves. Id: 11140, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Imperial Whip. Id: 18750, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Blurite Bow. Id: 22175, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Coin. Id: 995, amount: 9135340	
[4/17/23 07:48PM] Received item from Smokin. Name: Blurite Ring. Id: 19992, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Blurite Amulet. Id: 19991, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Blurite Staff. Id: 22174, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Starter Blade. Id: 22084, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Blurite Cape. Id: 20400, amount: 1	
[4/17/23 07:48PM] Received item from Smokin. Name: Lava bones. Id: 2023, amount: 63	
[4/17/23 07:48PM] Received item from Smokin. Name: Fury shark. Id: 17818, amount: 88	
