[4/19/23 12:58PM] Received item from Rsps2. Name: Patience bow. Id: 23039, amount: 1	
[4/19/23 12:58PM] Received item from Rsps2. Name: Nagi Helm. Id: 21062, amount: 1	
[4/19/23 12:58PM] Received item from Rsps2. Name: Sacred Body. Id: 23135, amount: 1	
[4/19/23 12:58PM] Received item from Rsps2. Name: Nagi Cape. Id: 21071, amount: 1	
[4/19/23 12:58PM] Received item from Rsps2. Name: Zinq boots. Id: 23054, amount: 1	
[4/19/23 12:58PM] Received item from Rsps2. Name: Inferno Boots. Id: 13305, amount: 1	
[4/19/23 12:58PM] Received item from Rsps2. Name: Patience helm. Id: 23034, amount: 1	
[4/19/23 12:58PM] Received item from Rsps2. Name: Patience legs. Id: 23036, amount: 1	
[4/19/23 01:02PM] Gave item to Markwhite93. Name: Imperial boots. Id: 20089, amount: 1	
[4/19/23 01:02PM] Gave item to Markwhite93. Name: Imperial Whip. Id: 18750, amount: 1	
[4/19/23 01:08PM] Gave item to Zane Rosse. Name: Imperial body. Id: 20087, amount: 1	
[4/19/23 01:13PM] Gave item to Xcrystalx. Name: Imperial amulet. Id: 20092, amount: 1	
[4/19/23 01:13PM] Gave item to Xcrystalx. Name: Imperial helm. Id: 20086, amount: 1	
[4/20/23 11:48AM] Received item from Onlyfans. Name: Obsidian Crossbow. Id: 23066, amount: 1	
[4/20/23 11:48AM] Received item from Onlyfans. Name: Rune platebody (h5). Id: 19495, amount: 1	
[4/20/23 11:48AM] Received item from Onlyfans. Name: Zinq sword. Id: 23055, amount: 1	
