[4/20/23 11:35AM] Received item from Resi. Name: Lava bones. Id: 2023, amount: 10000	
[4/20/23 11:35AM] Received item from Onlyfans. Name: Inferno Blade. Id: 20542, amount: 1	
[4/20/23 11:35AM] Received item from Onlyfans. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/20/23 11:38AM] Received item from 666 Coins. Name: Antique Bow. Id: 23144, amount: 1	
[4/20/23 11:38AM] Received item from 666 Coins. Name: Maze Cape. Id: 17684, amount: 1	
[4/20/23 11:41AM] Received item from 666 Coins. Name: Doom Aura. Id: 12614, amount: 1	
[4/20/23 11:41AM] Received item from 666 Coins. Name: Antique Boots. Id: 8820, amount: 1	
[4/20/23 11:41AM] Received item from 666 Coins. Name: Maze Legs. Id: 5428, amount: 1	
[4/20/23 11:41AM] Received item from 666 Coins. Name: Titan Helm. Id: 8803, amount: 1	
[4/20/23 11:41AM] Received item from 666 Coins. Name: Doom Body. Id: 16021, amount: 1	
[4/20/23 11:41AM] Received item from 666 Coins. Name: Antique Boots. Id: 8820, amount: 1	
[4/20/23 11:41AM] Received item from 666 Coins. Name: Sacred Gloves. Id: 23137, amount: 1	
[4/20/23 12:09PM] Received item from Sad. Name: Malvek Katana. Id: 14018, amount: 1	
[4/20/23 12:11PM] Received item from Resi. Name: Solar Robe Top. Id: 15646, amount: 1	
[4/20/23 12:11PM] Received item from Resi. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 05:54AM] Gave item to Brazil. Name: Zinq boots. Id: 23054, amount: 1	
[4/21/23 05:54AM] Received item from Brazil. Name: $1 Scroll. Id: 10946, amount: 3	
[4/21/23 06:05AM] Received item from Nadez. Name: Varth Teddy. Id: 22151, amount: 1	
[4/21/23 06:06AM] Gave item to Kingrock. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/21/23 06:06AM] Gave item to Kingrock. Name: $1 Scroll. Id: 10946, amount: 27	
[4/21/23 06:06AM] Gave item to Kingrock. Name: $10 Bond. Id: 23057, amount: 1	
[4/21/23 06:06AM] Received item from Kingrock. Name: Frieza Legs. Id: 11765, amount: 1	
[4/21/23 06:15AM] Gave item to Gekyume. Name: Tarn token. Id: 10835, amount: 83340	
[4/21/23 06:15AM] Gave item to Gekyume. Name: Coin. Id: 995, amount: 5142515	
[4/21/23 06:15AM] Received item from Gekyume. Name: Solar Hood. Id: 15645, amount: 1	
[4/21/23 06:15AM] Received item from Gekyume. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/21/23 06:15AM] Received item from Gekyume. Name: Gold Glaive. Id: 7014, amount: 1	
[4/21/23 06:15AM] Received item from Gekyume. Name: Emerald Body. Id: 11002, amount: 1	
[4/21/23 06:21AM] Gave item to Onlyfans. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 06:21AM] Gave item to Onlyfans. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/21/23 06:21AM] Gave item to Onlyfans. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
