[4/15/23 02:47AM] Received item from Nelly. Name: Aberrant Ring. Id: 8335, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: Mystic body. Id: 23022, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: Slayer ticket. Id: 5023, amount: 905	
[4/15/23 02:47AM] Received item from Nelly. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: EXP Potion (Divine). Id: 1033, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: DMG Potion (Mortal). Id: 3090, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: Tarn token. Id: 10835, amount: 2985	
[4/15/23 02:47AM] Received item from Nelly. Name: Coin. Id: 995, amount: 19344483	
[4/15/23 02:47AM] Received item from Nelly. Name: Lava bones. Id: 2023, amount: 542	
[4/15/23 02:47AM] Received item from Nelly. Name: Zinq legs. Id: 23052, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: Mystic gloves. Id: 23024, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: Revenant Helm. Id: 17999, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: Imperial amulet. Id: 20092, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: Mystic book. Id: 23027, amount: 1	
[4/15/23 02:47AM] Received item from Nelly. Name: Mystic staff. Id: 23026, amount: 1	
[4/15/23 05:03AM] Gave item to Alex. Name: Vote scroll. Id: 23020, amount: 3	
[4/15/23 05:03AM] Received item from Alex. Name: Vote scroll. Id: 23020, amount: 3	
[4/15/23 09:13AM] Gave item to Turtle. Name: Zinq helm. Id: 23050, amount: 1	
[4/15/23 09:13AM] Gave item to Turtle. Name: Zinq legs. Id: 23052, amount: 1	
[4/15/23 09:13AM] Received item from Turtle. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/15/23 09:13AM] Received item from Turtle. Name: Double Damage Scroll 30 Minutes. Id: 15359, amount: 1	
[4/15/23 10:14AM] Gave item to Tarnow. Name: Zinq shield. Id: 23056, amount: 1	
[4/15/23 10:14AM] Gave item to Tarnow. Name: Zinq body. Id: 23051, amount: 1	
[4/15/23 10:21AM] Gave item to Toxic. Name: Tarn token. Id: 10835, amount: 10000	
[4/15/23 10:21AM] Received item from Toxic. Name: Lava bones. Id: 2023, amount: 1000	
[4/15/23 03:17PM] Gave item to Rokas. Name: Nagi Ballista. Id: 21055, amount: 1	
[4/15/23 03:17PM] Received item from Rokas. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/16/23 02:02AM] Received item from Rks. Name: Antique Body. Id: 8817, amount: 1	
[4/16/23 05:26PM] Received item from Nelly. Name: Vote scroll. Id: 23020, amount: 2	
[4/16/23 10:59PM] Gave item to Suh. Name: $25 Bond. Id: 23058, amount: 1	
