[4/23/23 11:03AM] Received item from Princespeach. Name: Majestic Box. Id: 15004, amount: 1	
[4/23/23 11:09AM] Gave item to Entropy. Name: $25 Bond. Id: 23058, amount: 5	
[4/23/23 11:09AM] Received item from Entropy. Name: Tarn token. Id: 10835, amount: 7500000	
[4/23/23 11:11AM] Gave item to Entropy. Name: Tarn token. Id: 10835, amount: 7500000	
[4/23/23 11:11AM] Received item from Entropy. Name: Gladiator Glaive. Id: 20552, amount: 1	
[4/23/23 11:11AM] Received item from Entropy. Name: Gladiator Helm. Id: 15005, amount: 1	
[4/23/23 11:11AM] Received item from Entropy. Name: Gladiator Body. Id: 15006, amount: 1	
[4/23/23 11:11AM] Received item from Entropy. Name: Gladiator Legs. Id: 15007, amount: 1	
[4/23/23 11:11AM] Received item from Entropy. Name: Gladiator Cape. Id: 15100, amount: 1	
[4/23/23 11:11AM] Received item from Entropy. Name: Evil Gloves. Id: 14323, amount: 1	
[4/23/23 11:11AM] Received item from Entropy. Name: Gladiator Shield. Id: 15008, amount: 1	
[4/23/23 11:11AM] Received item from Entropy. Name: Gladiator Boots. Id: 15201, amount: 1	
[4/23/23 11:11AM] Received item from Entropy. Name: Collector necklace. Id: 19886, amount: 1	
