[4/15/23 09:50AM] Received item from Light. Name: Zinq body. Id: 23051, amount: 1	
[4/15/23 09:50AM] Received item from Light. Name: Imperial Whip. Id: 18750, amount: 1	
[4/15/23 09:57AM] Received item from Light. Name: Zinq legs. Id: 23052, amount: 1	
[4/15/23 10:18AM] Received item from Light. Name: Zinq body. Id: 23051, amount: 1	
[4/15/23 10:18AM] Received item from Light. Name: Imperial Staff. Id: 18629, amount: 1	
[4/15/23 10:43AM] Gave item to Light. Name: Zinq body. Id: 23051, amount: 1	
[4/15/23 10:43AM] Gave item to Light. Name: Imperial Staff. Id: 18629, amount: 1	
[4/15/23 10:44AM] Received item from Light. Name: Aberrant Ring. Id: 8335, amount: 1	
[4/15/23 10:45AM] Gave item to Light. Name: Imperial Whip. Id: 18750, amount: 1	
[4/15/23 10:45AM] Received item from Light. Name: Imperial Whip. Id: 18750, amount: 1	
[4/15/23 10:46AM] Gave item to Light. Name: Imperial Whip. Id: 18750, amount: 1	
[4/15/23 10:49AM] Gave item to Light. Name: Aberrant Ring. Id: 8335, amount: 1	
[4/15/23 02:07PM] Received item from Light. Name: Inferno Gloves. Id: 13302, amount: 1	
[4/15/23 02:09PM] Gave item to Light. Name: Inferno Gloves. Id: 13302, amount: 1	
[4/15/23 02:09PM] Received item from Light. Name: Zinq shield. Id: 23056, amount: 1	
[4/15/23 02:09PM] Received item from Light. Name: Imperial Staff. Id: 18629, amount: 1	
[4/15/23 02:35PM] Gave item to Jig Saw. Name: Imperial Whip. Id: 18750, amount: 1	
[4/15/23 02:35PM] Gave item to Jig Saw. Name: Imperial body. Id: 20087, amount: 1	
[4/15/23 02:35PM] Gave item to Jig Saw. Name: Imperial boots. Id: 20089, amount: 1	
[4/15/23 02:35PM] Gave item to Jig Saw. Name: Imperial helm. Id: 20086, amount: 1	
[4/15/23 02:35PM] Gave item to Jig Saw. Name: Imperial ring. Id: 20093, amount: 1	
[4/15/23 02:35PM] Gave item to Jig Saw. Name: Revenant Wings. Id: 18005, amount: 1	
[4/15/23 03:08PM] Received item from Light. Name: Inferno Shield. Id: 13306, amount: 1	
[4/15/23 04:35PM] Received item from Light. Name: Nagi Helm. Id: 21062, amount: 1	
[4/15/23 04:35PM] Received item from Light. Name: Inferno Gloves. Id: 13302, amount: 1	
[4/15/23 04:35PM] Received item from Light. Name: Nagi Legs. Id: 21064, amount: 1	
[4/15/23 04:45PM] Received item from Tellur. Name: Antique Helm. Id: 8816, amount: 1	
[4/15/23 05:53PM] Received item from Light. Name: Nagi Ring. Id: 21069, amount: 1	
[4/15/23 05:53PM] Received item from Light. Name: Tormented Body. Id: 21037, amount: 1	
[4/15/23 05:53PM] Received item from Light. Name: Nagi Gloves. Id: 21066, amount: 1	
[4/15/23 05:53PM] Received item from Light. Name: Tormented Boots. Id: 21041, amount: 1	
[4/15/23 05:53PM] Received item from Light. Name: Unknown Legs. Id: 21044, amount: 1	
[4/15/23 05:53PM] Received item from Light. Name: Tormented Cape. Id: 21039, amount: 1	
[4/15/23 05:56PM] Gave item to Light. Name: Blurite Staff. Id: 22174, amount: 1	
[4/15/23 06:38PM] Received item from Light. Name: Sacred Boots. Id: 23138, amount: 1	
