[4/20/23 01:19AM] Gave item to Ao. Name: Owner's Legs. Id: 22234, amount: 1	
[4/20/23 01:19AM] Received item from Ao. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 01:19AM] Received item from Ao. Name: Shinigami Legs. Id: 13330, amount: 1	
[4/20/23 01:19AM] Received item from Ao. Name: Tarn token. Id: 10835, amount: 5000000	
[4/20/23 01:19AM] Received item from Ao. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/20/23 01:19AM] Received item from Ao. Name: Warrior chestplate (mithril). Id: 20604, amount: 1	
[4/20/23 01:19AM] Received item from Ao. Name: Collector necklace II. Id: 19888, amount: 1	
[4/20/23 01:19AM] Received item from Ao. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/20/23 01:58AM] Received item from Asquad. Name: Zircon (Wizard). Id: 23092, amount: 1	
[4/20/23 01:58AM] Received item from Asquad. Name: Solar Staff. Id: 22135, amount: 1	
[4/20/23 01:58AM] Received item from Asquad. Name: Solar Hood. Id: 15645, amount: 1	
[4/20/23 02:42AM] Gave item to Suh. Name: Owner's Shield. Id: 22240, amount: 1	
[4/20/23 02:42AM] Gave item to Suh. Name: Owner's Halo. Id: 22239, amount: 1	
[4/20/23 02:42AM] Received item from Suh. Name: Yasuda Scythe. Id: 3472, amount: 1	
[4/20/23 02:42AM] Received item from Suh. Name: Upgraded Owner's Cape. Id: 22109, amount: 1	
[4/20/23 02:42AM] Received item from Suh. Name: $25 Bond. Id: 23058, amount: 9	
[4/20/23 02:42AM] Received item from Suh. Name: $10 Bond. Id: 23057, amount: 14	
[4/20/23 02:42AM] Received item from Suh. Name: $1 Scroll. Id: 10946, amount: 448	
[4/20/23 02:42AM] Received item from Suh. Name: Tarn token. Id: 10835, amount: 20000000	
[4/20/23 11:56PM] Gave item to Washi. Name: Black platebody (h4). Id: 19490, amount: 1	
[4/20/23 11:56PM] Gave item to Washi. Name: Varth Helm. Id: 22145, amount: 1	
[4/20/23 11:56PM] Gave item to Washi. Name: Demonlord Body. Id: 14178, amount: 1	
[4/20/23 11:56PM] Gave item to Washi. Name: Progressive Box [T1]. Id: 10025, amount: 3	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Imperial Box. Id: 14487, amount: 1	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Imperial Box. Id: 14487, amount: 1	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Imperial Box. Id: 14487, amount: 1	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Imperial Box. Id: 14487, amount: 1	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: PvM Casket. Id: 2736, amount: 19	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Demonlord Body. Id: 14178, amount: 1	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Varth Helm. Id: 22145, amount: 1	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Rune platebody (h3). Id: 19489, amount: 1	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Demon Bow. Id: 22134, amount: 1	
[4/21/23 03:09AM] Gave item to Linctheorse. Name: Drop rate scroll. Id: 23178, amount: 1	
[4/21/23 03:15AM] Gave item to Linctheorse. Name: Collector necklace. Id: 19886, amount: 1	
[4/21/23 03:16AM] Gave item to Linctheorse. Name: $1 Scroll. Id: 10946, amount: 8	
