[4/17/23 06:58AM] Received item from Rokas. Name: Sacred Boots. Id: 23138, amount: 1	
[4/17/23 06:58AM] Received item from Rokas. Name: Sacred Gloves. Id: 23137, amount: 1	
[4/17/23 06:58AM] Received item from Rokas. Name: Sacred Helm. Id: 23134, amount: 1	
[4/17/23 06:58AM] Received item from Rokas. Name: Patience legs. Id: 23036, amount: 1	
[4/18/23 06:09AM] Gave item to Rokas. Name: Vote scroll. Id: 23020, amount: 2	
[4/18/23 06:09AM] Gave item to Rokas. Name: $1 Scroll. Id: 10946, amount: 1	
[4/18/23 06:09AM] Received item from Rokas. Name: Titan Body. Id: 8804, amount: 1	
[4/18/23 06:09AM] Received item from Rokas. Name: Lust Visor. Id: 8806, amount: 1	
[4/18/23 06:09AM] Received item from Rokas. Name: Godly Legs. Id: 14052, amount: 1	
[4/18/23 06:30AM] Received item from Sad. Name: Rogue Sword. Id: 22127, amount: 1	
[4/20/23 05:26AM] Gave item to Onlyfans. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 05:26AM] Gave item to Onlyfans. Name: Double DR Scroll 30 Minutes. Id: 15358, amount: 1	
[4/20/23 05:26AM] Received item from Onlyfans. Name: Tarn token. Id: 10835, amount: 400339	
[4/22/23 05:13PM] Gave item to Author. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/22/23 05:13PM] Received item from Author. Name: Tarn token. Id: 10835, amount: 1400000	
