[4/20/23 03:31AM] Received item from Immortal. Name: Antique Gloves. Id: 8819, amount: 1	
[4/23/23 06:10AM] Gave item to Thor. Name: AFK ticket. Id: 5020, amount: 340	
[4/23/23 06:10AM] Gave item to Thor. Name: Bronze pickaxe. Id: 1265, amount: 1	
[4/27/23 04:44AM] Gave item to Washi. Name: Tarn token. Id: 10835, amount: 8000000	
[4/27/23 04:44AM] Received item from Washi. Name: Demon Bow. Id: 22134, amount: 1	
[4/27/23 11:01AM] Received item from Bulba. Name: Gladiator Gloves. Id: 15200, amount: 1	
[4/27/23 11:01AM] Received item from Bulba. Name: Tarn token. Id: 10835, amount: 10000000	
[4/27/23 11:17AM] Received item from Thor. Name: Tarn token. Id: 10835, amount: 11687910	
[4/27/23 11:17AM] Received item from Thor. Name: Goku Pet. Id: 13774, amount: 1	
[4/27/23 11:17AM] Received item from Thor. Name: Yasuda Body. Id: 4077, amount: 1	
[4/27/23 11:17AM] Received item from Thor. Name: Gold Enhancement. Id: 17391, amount: 1	
