[4/17/23 08:16AM] Received item from Like My Peep. Name: Emerald Crossbow. Id: 8088, amount: 1	
[4/17/23 10:55AM] Received item from Fpk Merk. Name: Progressive Box [T2]. Id: 10029, amount: 2	
[4/18/23 11:35AM] Gave item to Atz. Name: $10 Bond. Id: 23057, amount: 1	
[4/18/23 11:35AM] Received item from Atz. Name: Tarn token. Id: 10835, amount: 400000	
[4/18/23 11:42AM] Gave item to Zshana. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/18/23 11:42AM] Received item from Zshana. Name: Soldier Legs. Id: 23077, amount: 1	
[4/18/23 12:31PM] Gave item to Zshana. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/18/23 12:31PM] Received item from Zshana. Name: Tarn token. Id: 10835, amount: 700566	
[4/18/23 01:19PM] Gave item to Onlyfans. Name: Tarn token. Id: 10835, amount: 635196	
[4/18/23 01:19PM] Received item from Onlyfans. Name: Agumon Gloves. Id: 22159, amount: 1	
[4/19/23 10:57AM] Gave item to Zshana. Name: DR Potion (Godly). Id: 3086, amount: 1	
[4/19/23 10:57AM] Received item from Zshana. Name: Tarn token. Id: 10835, amount: 634078	
[4/19/23 11:54AM] Received item from Wr3ckedyou. Name: Cursed Box. Id: 15003, amount: 1	
[4/19/23 11:55AM] Gave item to Suh. Name: $25 Bond. Id: 23058, amount: 1	
[4/19/23 11:55AM] Gave item to Suh. Name: $1 Scroll. Id: 10946, amount: 8	
[4/19/23 11:55AM] Received item from Suh. Name: Tarn token. Id: 10835, amount: 1650000	
[4/20/23 12:06AM] Gave item to Veraces. Name: Tarn token. Id: 10835, amount: 270000	
[4/20/23 12:06AM] Received item from Veraces. Name: Vote scroll. Id: 23020, amount: 9	
[4/20/23 12:07AM] Gave item to Railtech. Name: Tarn token. Id: 10835, amount: 120000	
[4/20/23 12:07AM] Received item from Railtech. Name: Vote scroll. Id: 23020, amount: 4	
[4/20/23 12:12AM] Gave item to Carver319. Name: Tarn token. Id: 10835, amount: 270000	
[4/20/23 12:12AM] Received item from Carver319. Name: Vote scroll. Id: 23020, amount: 9	
[4/20/23 01:53AM] Gave item to Nervus. Name: Solar Hood. Id: 15645, amount: 1	
[4/20/23 05:06AM] Gave item to Shore. Name: Solar Hood. Id: 15645, amount: 1	
[4/20/23 05:06AM] Gave item to Shore. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 02:59PM] Received item from Nadez. Name: Miner chestplate (steel). Id: 20583, amount: 1	
[4/21/23 11:20PM] Gave item to Oblivion. Name: Tarn token. Id: 10835, amount: 16598982	
[4/21/23 11:20PM] Gave item to Oblivion. Name: Solar Staff. Id: 22135, amount: 1	
[4/21/23 11:20PM] Gave item to Oblivion. Name: Emerald Chaps. Id: 11003, amount: 1	
[4/21/23 11:20PM] Received item from Oblivion. Name: Groudon Staff. Id: 13640, amount: 1	
[4/22/23 12:32PM] Gave item to Krafty. Name: Tarn token. Id: 10835, amount: 6869769	
[4/22/23 12:32PM] Gave item to Krafty. Name: Vote scroll. Id: 23020, amount: 30	
[4/22/23 12:32PM] Received item from Krafty. Name: Fazula Legs. Id: 4068, amount: 1	
[4/22/23 01:44PM] Gave item to Netflix. Name: Tarn token. Id: 10835, amount: 1466327	
[4/22/23 01:44PM] Gave item to Netflix. Name: $1 Scroll. Id: 10946, amount: 1	
[4/22/23 01:44PM] Received item from Netflix. Name: Blood Enhancement. Id: 1857, amount: 1	
[4/23/23 12:16PM] Gave item to Oblivion. Name: Tarn token. Id: 10835, amount: 6000000	
[4/23/23 12:16PM] Gave item to Oblivion. Name: Vote scroll. Id: 23020, amount: 33	
[4/23/23 12:16PM] Received item from Oblivion. Name: Fazula Staff. Id: 4071, amount: 1	
